@date,"@dlog(con1,0,12)","@dlog(con2,0,12)","@dlog(con3,0,12)","@dlog(con5,0,12)","@dlog(con6,0,12)","@dlog(con7,0,12)","@dlog(con8,0,12)",con9,con10,con11,"@dlog(con12,0,12)","@dlog(con13,0,12)",con14,"@dlog(con15,0,12)","@dlog(con16,0,12)","@dlog(con1(-1),0,12)","@dlog(con2(-1),0,12)","@dlog(con3(-1),0,12)","@dlog(con5(-1),0,12)","@dlog(con6(-1),0,12)","@dlog(con7(-1),0,12)","@dlog(con8(-1),0,12)",con9(-1),con10(-1),con11(-1),"@dlog(con12(-1),0,12)","@dlog(con13(-1),0,12)",con14(-1),"@dlog(con15(-1),0,12)","@dlog(con16(-1),0,12)","@dlog(con1(-2),0,12)","@dlog(con2(-2),0,12)","@dlog(con3(-2),0,12)","@dlog(con5(-2),0,12)","@dlog(con6(-2),0,12)","@dlog(con7(-2),0,12)","@dlog(con8(-2),0,12)",con9(-2),con10(-2),con11(-2),"@dlog(con12(-2),0,12)","@dlog(con13(-2),0,12)",con14(-2),"@dlog(con15(-2),0,12)","@dlog(con16(-2),0,12)"
1997-03-01,0.0323607650996669,-0.1470476414328665,0.2549514572037345,,0.0513518580840681,0.0431529572588829,,-42.76917,-46.15222,-41.46837,0.0372313816045721,0.0054869820799039,-45.2,-0.0222087492050127,-0.0487206752603301,0.026761036271341,0.111811509916075,0.0304731409868299,,0.0083990925808112,0.0319973903358041,,-15.08795,-24.35824,-30.94798,0.0372313816045721,0.0069766933678785,-14.4,-0.0029921412599014,0.1600411240937695,0.0117057905590902,0.1704404699054933,0.0808892008084978,,-0.0464732502812292,0.019101411576897,,-21.04007,-5.96896,-33.84975,0.0372313816045721,0.0111146132967689,-31.2,0.0384268663670397,-0.4077569188489738
1997-04-01,0.0235000918182199,0.1107274541019975,0.1418218558859685,,0.1455527207341749,0.0575869547491461,,-27.9386,-37.67008,-10.15235,0.0365353767384628,0.0042425022897045,-30.5,-0.0789205219337256,-0.0594827675255076,0.0323607650996669,-0.1470476414328665,0.2549514572037345,,0.0513518580840681,0.0431529572588829,,-42.76917,-46.15222,-41.46837,0.0372313816045721,0.0054869820799039,-45.2,-0.0222087492050127,-0.0487206752603301,0.026761036271341,0.111811509916075,0.0304731409868299,,0.0083990925808112,0.0319973903358041,,-15.08795,-24.35824,-30.94798,0.0372313816045721,0.0069766933678785,-14.4,-0.0029921412599014,0.1600411240937695
1997-05-01,0.0387462613912967,0.1407524772438595,0.2609509124114399,,0.066112007758333,0.0554222311866112,,-13.0003,-22.21125,-2.26995,0.0360850317766803,0.004492197860987,-16.5,0.0314857322404176,0.0640780299543517,0.0235000918182199,0.1107274541019975,0.1418218558859685,,0.1455527207341749,0.0575869547491461,,-27.9386,-37.67008,-10.15235,0.0365353767384628,0.0042425022897045,-30.5,-0.0789205219337256,-0.0594827675255076,0.0323607650996669,-0.1470476414328665,0.2549514572037345,,0.0513518580840681,0.0431529572588829,,-42.76917,-46.15222,-41.46837,0.0372313816045721,0.0054869820799039,-45.2,-0.0222087492050127,-0.0487206752603301
1997-06-01,0.0388996456066426,0.0723305618345584,0.0095426132055784,,0.0946552398345028,0.0576520949221288,,-29.18747,-11.69013,-14.87362,0.0357919487566404,0.0079970561251379,-32.5,-0.0179845896998118,-0.2271632242750043,0.0387462613912967,0.1407524772438595,0.2609509124114399,,0.066112007758333,0.0554222311866112,,-13.0003,-22.21125,-2.26995,0.0360850317766803,0.004492197860987,-16.5,0.0314857322404176,0.0640780299543517,0.0235000918182199,0.1107274541019975,0.1418218558859685,,0.1455527207341749,0.0575869547491461,,-27.9386,-37.67008,-10.15235,0.0365353767384628,0.0042425022897045,-30.5,-0.0789205219337256,-0.0594827675255076
1997-07-01,0.0456335858230607,0.2772150415005878,0.2278365389144934,,0.1474321738120689,0.0531119089421574,,-1.79788,-15.67401,18.5792,0.0351223331592196,0.0126133267822332,-5.8,-0.0252485876598518,0.2669215669468645,0.0388996456066426,0.0723305618345584,0.0095426132055784,,0.0946552398345028,0.0576520949221288,,-29.18747,-11.69013,-14.87362,0.0357919487566404,0.0079970561251379,-32.5,-0.0179845896998118,-0.2271632242750043,0.0387462613912967,0.1407524772438595,0.2609509124114399,,0.066112007758333,0.0554222311866112,,-13.0003,-22.21125,-2.26995,0.0360850317766803,0.004492197860987,-16.5,0.0314857322404176,0.0640780299543517
1997-08-01,0.0354189096348358,-0.0672171211776202,0.1105607017921741,,0.0380694327352939,0.057135451313151,,-39.88654,-41.21613,-30.05494,0.0351223331592196,0.0141934355140431,-38.5,-0.0589181253580051,0.0631728253720824,0.0456335858230607,0.2772150415005878,0.2278365389144934,,0.1474321738120689,0.0531119089421574,,-1.79788,-15.67401,18.5792,0.0351223331592196,0.0126133267822332,-5.8,-0.0252485876598518,0.2669215669468645,0.0388996456066426,0.0723305618345584,0.0095426132055784,,0.0946552398345028,0.0576520949221288,,-29.18747,-11.69013,-14.87362,0.0357919487566404,0.0079970561251379,-32.5,-0.0179845896998118,-0.2271632242750043
1997-09-01,0.0363831934082581,0.1112276293329603,0.116601661297901,,0.0983588233333092,0.0700050534604166,,-40.77958,-46.21145,-33.20652,0.0351223331592196,0.0141757851363477,-40.5,-0.0608333341618605,-0.1660732674448777,0.0354189096348358,-0.0672171211776202,0.1105607017921741,,0.0380694327352939,0.057135451313151,,-39.88654,-41.21613,-30.05494,0.0351223331592196,0.0141934355140431,-38.5,-0.0589181253580051,0.0631728253720824,0.0456335858230607,0.2772150415005878,0.2278365389144934,,0.1474321738120689,0.0531119089421574,,-1.79788,-15.67401,18.5792,0.0351223331592196,0.0126133267822332,-5.8,-0.0252485876598518,0.2669215669468645
1997-10-01,0.0650847359852981,0.2423437856113288,0.1376402483790482,,0.1078307282855881,0.0797626896160021,,-43.9268,-42.79972,-24.85364,0.0399584445414631,0.0105230994810749,-39.6,-0.0232030367966071,0.1054517041069584,0.0363831934082581,0.1112276293329603,0.116601661297901,,0.0983588233333092,0.0700050534604166,,-40.77958,-46.21145,-33.20652,0.0351223331592196,0.0141757851363477,-40.5,-0.0608333341618605,-0.1660732674448777,0.0354189096348358,-0.0672171211776202,0.1105607017921741,,0.0380694327352939,0.057135451313151,,-39.88654,-41.21613,-30.05494,0.0351223331592196,0.0141934355140431,-38.5,-0.0589181253580051,0.0631728253720824
1997-11-01,0.0792928225588847,0.020034303182653,-0.1148222306546262,,0.046614098558261,0.0816826726858286,,3.18508,4.50739,16.09303,0.0399584445414631,0.0103884426419744,6.1,-0.0299157815625958,-0.1907228013891413,0.0650847359852981,0.2423437856113288,0.1376402483790482,,0.1078307282855881,0.0797626896160021,,-43.9268,-42.79972,-24.85364,0.0399584445414631,0.0105230994810749,-39.6,-0.0232030367966071,0.1054517041069584,0.0363831934082581,0.1112276293329603,0.116601661297901,,0.0983588233333092,0.0700050534604166,,-40.77958,-46.21145,-33.20652,0.0351223331592196,0.0141757851363477,-40.5,-0.0608333341618605,-0.1660732674448777
1997-12-01,0.0841836303957261,0.2211941424815027,-0.2623642644674912,,0.1644568699720157,0.0658291268516064,,-26.08159,-15.33622,-31.69199,0.0399584445414631,0.0100241879616058,-25.5,0.0082872331708525,0.1385589372772768,0.0792928225588847,0.020034303182653,-0.1148222306546262,,0.046614098558261,0.0816826726858286,,3.18508,4.50739,16.09303,0.0399584445414631,0.0103884426419744,6.1,-0.0299157815625958,-0.1907228013891413,0.0650847359852981,0.2423437856113288,0.1376402483790482,,0.1078307282855881,0.0797626896160021,,-43.9268,-42.79972,-24.85364,0.0399584445414631,0.0105230994810749,-39.6,-0.0232030367966071,0.1054517041069584
1998-01-01,0.0783043945858663,0.2153853221326862,0.2551184445835019,,0.1273402521255766,0.1065377689401723,,-18.24049,-3.06199,-41.28339,0.0290947499075024,0.0081634525762614,-16.3,-0.030992808517972,0.3111356561193456,0.0841836303957261,0.2211941424815027,-0.2623642644674912,,0.1644568699720157,0.0658291268516064,,-26.08159,-15.33622,-31.69199,0.0399584445414631,0.0100241879616058,-25.5,0.0082872331708525,0.1385589372772768,0.0792928225588847,0.020034303182653,-0.1148222306546262,,0.046614098558261,0.0816826726858286,,3.18508,4.50739,16.09303,0.0399584445414631,0.0103884426419744,6.1,-0.0299157815625958,-0.1907228013891413
1998-02-01,0.0708512352866099,0.2996970843086295,0.071267705152918,,0.1639497115469801,0.1154716042621908,,-18.56735,-3.11345,-34.34173,0.0290947499075024,0.0103741857419414,-17.3,0.0203504726913656,0.0184365514760775,0.0783043945858663,0.2153853221326862,0.2551184445835019,,0.1273402521255766,0.1065377689401723,,-18.24049,-3.06199,-41.28339,0.0290947499075024,0.0081634525762614,-16.3,-0.030992808517972,0.3111356561193456,0.0841836303957261,0.2211941424815027,-0.2623642644674912,,0.1644568699720157,0.0658291268516064,,-26.08159,-15.33622,-31.69199,0.0399584445414631,0.0100241879616058,-25.5,0.0082872331708525,0.1385589372772768
1998-03-01,0.0917036635624395,0.6617254536131316,-0.2282568419426898,,0.2385599829275486,0.1252345576163529,,7.96913,4.51642,24.01135,0.0290947499075024,0.010515287429972,6.6,0.0100169334724249,0.0091008982940978,0.0708512352866099,0.2996970843086295,0.071267705152918,,0.1639497115469801,0.1154716042621908,,-18.56735,-3.11345,-34.34173,0.0290947499075024,0.0103741857419414,-17.3,0.0203504726913656,0.0184365514760775,0.0783043945858663,0.2153853221326862,0.2551184445835019,,0.1273402521255766,0.1065377689401723,,-18.24049,-3.06199,-41.28339,0.0290947499075024,0.0081634525762614,-16.3,-0.030992808517972,0.3111356561193456
1998-04-01,0.1012885305279276,-0.1923553668631008,-0.0490966910038785,,-0.0194000124557316,0.1050047787965668,,-15.6712,-1.04831,21.18652,0.029198223880003,0.0120058474130715,-17.6,0.0770833534914849,0.1184398980371699,0.0917036635624395,0.6617254536131316,-0.2282568419426898,,0.2385599829275486,0.1252345576163529,,7.96913,4.51642,24.01135,0.0290947499075024,0.010515287429972,6.6,0.0100169334724249,0.0091008982940978,0.0708512352866099,0.2996970843086295,0.071267705152918,,0.1639497115469801,0.1154716042621908,,-18.56735,-3.11345,-34.34173,0.0290947499075024,0.0103741857419414,-17.3,0.0203504726913656,0.0184365514760775
1998-05-01,0.0971952245370673,0.0691520496382498,-0.0737754512166599,,0.0629526910923328,0.1134429971341672,,-7.49061,-0.86053,19.28665,0.0296034725250762,0.0118812722539889,-11.9,-0.0511111545406919,0.1710496253607702,0.1012885305279276,-0.1923553668631008,-0.0490966910038785,,-0.0194000124557316,0.1050047787965668,,-15.6712,-1.04831,21.18652,0.029198223880003,0.0120058474130715,-17.6,0.0770833534914849,0.1184398980371699,0.0917036635624395,0.6617254536131316,-0.2282568419426898,,0.2385599829275486,0.1252345576163529,,7.96913,4.51642,24.01135,0.0290947499075024,0.010515287429972,6.6,0.0100169334724249,0.0091008982940978
1998-06-01,0.0927850864994681,0.2822818051982647,0.0302761334905827,,0.1782682560878043,0.1215549877326074,,-7.837,4.80961,27.36186,0.0293145928449387,0.0102769209101269,-10.9,0.0290228197926412,0.3169929036398593,0.0971952245370673,0.0691520496382498,-0.0737754512166599,,0.0629526910923328,0.1134429971341672,,-7.49061,-0.86053,19.28665,0.0296034725250762,0.0118812722539889,-11.9,-0.0511111545406919,0.1710496253607702,0.1012885305279276,-0.1923553668631008,-0.0490966910038785,,-0.0194000124557316,0.1050047787965668,,-15.6712,-1.04831,21.18652,0.029198223880003,0.0120058474130715,-17.6,0.0770833534914849,0.1184398980371699
1998-07-01,0.0994855799319776,0.0260598101798166,-0.0106036559074507,,0.1268121195643283,0.1187699124880383,,16.46411,18.30604,39.72299,0.0298502461238459,0.0061858009781605,12.2,0.0850662632920276,-0.0667893377758046,0.0927850864994681,0.2822818051982647,0.0302761334905827,,0.1782682560878043,0.1215549877326074,,-7.837,4.80961,27.36186,0.0293145928449387,0.0102769209101269,-10.9,0.0290228197926412,0.3169929036398593,0.0971952245370673,0.0691520496382498,-0.0737754512166599,,0.0629526910923328,0.1134429971341672,,-7.49061,-0.86053,19.28665,0.0296034725250762,0.0118812722539889,-11.9,-0.0511111545406919,0.1710496253607702
1998-08-01,0.1205525320457221,0.3898342392444896,0.0102689260519639,,0.1800984715035358,0.1201824999045353,,27.82308,30.87823,42.17998,0.0298502461238459,0.0009884545411065,30.6,0.0313500160120767,-7.109134918259485e-05,0.0994855799319776,0.0260598101798166,-0.0106036559074507,,0.1268121195643283,0.1187699124880383,,16.46411,18.30604,39.72299,0.0298502461238459,0.0061858009781605,12.2,0.0850662632920276,-0.0667893377758046,0.0927850864994681,0.2822818051982647,0.0302761334905827,,0.1782682560878043,0.1215549877326074,,-7.837,4.80961,27.36186,0.0293145928449387,0.0102769209101269,-10.9,0.0290228197926412,0.3169929036398593
