@date,"@dlog(ind1,0,12)","@dlog(ind2,0,12)","@dlog(ind3,0,12)","@dlog(ind4,0,12)","@dlog(ind5,0,12)","@dlog(ind6,0,12)",ind7,ind8,ind9,"@dlog(ind10,0,12)","@dlog(ind11,1,12)","@dlog(ind12,0,12)","@dlog(ind13,0,12)","@dlog(ind1(-1),0,12)","@dlog(ind2(-1),0,12)","@dlog(ind3(-1),0,12)","@dlog(ind4(-1),0,12)","@dlog(ind5(-1),0,12)","@dlog(ind6(-1),0,12)",ind7(-1),ind8(-1),ind9(-1),"@dlog(ind10(-1),0,12)","@dlog(ind11(-1),1,12)","@dlog(ind12(-1),0,12)","@dlog(ind13(-1),0,12)","@dlog(ind1(-2),0,12)","@dlog(ind2(-2),0,12)","@dlog(ind3(-2),0,12)","@dlog(ind4(-2),0,12)","@dlog(ind5(-2),0,12)","@dlog(ind6(-2),0,12)",ind7(-2),ind8(-2),ind9(-2),"@dlog(ind10(-2),0,12)","@dlog(ind11(-2),1,12)","@dlog(ind12(-2),0,12)","@dlog(ind13(-2),0,12)"
1997-04-01,0.0501693797747373,,0.0713085302135061,0.075849312252525,0.0160173153678986,,-0.639151666666667,-3.6,9.88890921,0.0071551036469648,,0.0868519262764593,0.1164164783005938,0.053197322289491,,0.0661771288792234,-0.0449136877572229,0.0100626201549083,,-3.39134319333333,-4.5,8.20363925,0.0071811398259553,,0.0732559833874493,0.1207806466909398,0.0365442122387769,,0.0115714231354759,-0.0786212183970373,0.0060200198448576,,-7.26340102,-12.7,3.50640201,0.0047699427366119,,0.0304213158845332,0.0587034135668602
1997-05-01,0.0439163186141389,,0.0576903584828158,0.0456232498316957,0.0164829644803203,,-1.67931753333333,-3.8,16.0858733,0.0059648565301992,,0.0634813214994993,0.1045923444917278,0.0501693797747373,,0.0713085302135061,0.075849312252525,0.0160173153678986,,-0.639151666666667,-3.6,9.88890921,0.0071551036469648,,0.0868519262764593,0.1164164783005938,0.053197322289491,,0.0661771288792234,-0.0449136877572229,0.0100626201549083,,-3.39134319333333,-4.5,8.20363925,0.0071811398259553,,0.0732559833874493,0.1207806466909398
1997-06-01,0.0435653094840073,,0.0598578879314333,0.0206845911545334,0.0162158846914044,,0.0609404333333335,-2.1,13.4597914,0.0083643042324181,,0.0503166286343139,0.1318109997174348,0.0439163186141389,,0.0576903584828158,0.0456232498316957,0.0164829644803203,,-1.67931753333333,-3.8,16.0858733,0.0059648565301992,,0.0634813214994993,0.1045923444917278,0.0501693797747373,,0.0713085302135061,0.075849312252525,0.0160173153678986,,-0.639151666666667,-3.6,9.88890921,0.0071551036469648,,0.0868519262764593,0.1164164783005938
1997-07-01,0.0574937431122402,,0.0733403834740284,0.0237848838638914,0.0167969575309516,,4.23941143333333,3.8,13.3314441,0.0119368978723946,,0.0624069844187165,0.1064478989909965,0.0435653094840073,,0.0598578879314333,0.0206845911545334,0.0162158846914044,,0.0609404333333335,-2.1,13.4597914,0.0083643042324181,,0.0503166286343139,0.1318109997174348,0.0439163186141389,,0.0576903584828158,0.0456232498316957,0.0164829644803203,,-1.67931753333333,-3.8,16.0858733,0.0059648565301992,,0.0634813214994993,0.1045923444917278
1997-08-01,0.0578237799037033,,0.0788703982921825,0.0585235923757947,0.0184172829309643,,5.3276968,2.5,14.0749012,0.0154869003018571,,0.0452961124280433,0.1177877743496074,0.0574937431122402,,0.0733403834740284,0.0237848838638914,0.0167969575309516,,4.23941143333333,3.8,13.3314441,0.0119368978723946,,0.0624069844187165,0.1064478989909965,0.0435653094840073,,0.0598578879314333,0.0206845911545334,0.0162158846914044,,0.0609404333333335,-2.1,13.4597914,0.0083643042324181,,0.0503166286343139,0.1318109997174348
1997-09-01,0.0535971958966383,,0.0786663980508066,0.1026919583188341,0.0229601623842992,,8.54001866666667,12.8,17.4596255,0.0154500262222319,,0.0469017626184591,0.0469370758475058,0.0578237799037033,,0.0788703982921825,0.0585235923757947,0.0184172829309643,,5.3276968,2.5,14.0749012,0.0154869003018571,,0.0452961124280433,0.1177877743496074,0.0574937431122402,,0.0733403834740284,0.0237848838638914,0.0167969575309516,,4.23941143333333,3.8,13.3314441,0.0119368978723946,,0.0624069844187165,0.1064478989909965
1997-10-01,0.0630226020649553,,0.0801813534113016,0.0653288337844362,0.0258938448631758,,6.5473068,7.5,20.4638124,0.0130380847598763,,0.0651231578704516,0.1229073868872756,0.0535971958966383,,0.0786663980508066,0.1026919583188341,0.0229601623842992,,8.54001866666667,12.8,17.4596255,0.0154500262222319,,0.0469017626184591,0.0469370758475058,0.0578237799037033,,0.0788703982921825,0.0585235923757947,0.0184172829309643,,5.3276968,2.5,14.0749012,0.0154869003018571,,0.0452961124280433,0.1177877743496074
1997-11-01,0.0641662424527931,,0.0838498441356794,0.0490377523075231,0.0267535423254496,,5.2372484,9.7,20.2340207,0.0118520932716208,,0.0547001999210126,0.1259719321180741,0.0630226020649553,,0.0801813534113016,0.0653288337844362,0.0258938448631758,,6.5473068,7.5,20.4638124,0.0130380847598763,,0.0651231578704516,0.1229073868872756,0.0535971958966383,,0.0786663980508066,0.1026919583188341,0.0229601623842992,,8.54001866666667,12.8,17.4596255,0.0154500262222319,,0.0469017626184591,0.0469370758475058
1997-12-01,0.0578746423436964,,0.0768555630178697,0.0754970069269322,0.0248151385740902,,5.86891446666667,2.7,17.4215467,0.008287436038243,,0.0816730105987266,0.1023222645488752,0.0641662424527931,,0.0838498441356794,0.0490377523075231,0.0267535423254496,,5.2372484,9.7,20.2340207,0.0118520932716208,,0.0547001999210126,0.1259719321180741,0.0630226020649553,,0.0801813534113016,0.0653288337844362,0.0258938448631758,,6.5473068,7.5,20.4638124,0.0130380847598763,,0.0651231578704516,0.1229073868872756
1998-01-01,0.0572193000585716,,0.068302678254521,0.0253655569147133,0.0289267175709726,,5.75967126666667,6.1,20.1781338,0.0059364867973075,,0.0852284576862265,0.1306417757355804,0.0578746423436964,,0.0768555630178697,0.0754970069269322,0.0248151385740902,,5.86891446666667,2.7,17.4215467,0.008287436038243,,0.0816730105987266,0.1023222645488752,0.0641662424527931,,0.0838498441356794,0.0490377523075231,0.0267535423254496,,5.2372484,9.7,20.2340207,0.0118520932716208,,0.0547001999210126,0.1259719321180741
