@date,"@dlog(cpu1,0,12)","@dlog(cpu2,0,12)","@dlog(cpu3,0,12)","@dlog(cpu4,0,12)","@dlog(cpu1(-1),0,12)","@dlog(cpu2(-1),0,12)","@dlog(cpu3(-1),0,12)","@dlog(cpu4(-1),0,12)","@dlog(cpu1(-2),0,12)","@dlog(cpu2(-2),0,12)","@dlog(cpu3(-2),0,12)","@dlog(cpu4(-2),0,12)"
1998-03-01,0.0109813858705969,0.0658044169277722,0.0658044169277722,,-0.003046692889109,-0.0918008556558831,-0.0918008556558831,,0.0075897238473565,-0.3568180976144468,-0.3568180976144468,
1998-04-01,9.286689394905069e-05,-0.0295194010013268,-0.0295194010013268,,0.0109813858705969,0.0658044169277722,0.0658044169277722,,-0.003046692889109,-0.0918008556558831,-0.0918008556558831,
1998-05-01,-0.002091423734349,-0.0516116506612256,-0.0516116506612256,,9.286689394905069e-05,-0.0295194010013268,-0.0295194010013268,,0.0109813858705969,0.0658044169277722,0.0658044169277722,
1998-06-01,0.0115813328553251,-0.0422533258854826,-0.0422533258854826,,-0.002091423734349,-0.0516116506612256,-0.0516116506612256,,9.286689394905069e-05,-0.0295194010013268,-0.0295194010013268,
1998-07-01,0.013390622119223,-0.0346105727005578,-0.0346105727005578,,0.0115813328553251,-0.0422533258854826,-0.0422533258854826,,-0.002091423734349,-0.0516116506612256,-0.0516116506612256,
1998-08-01,0.0148023195224542,-0.0113076795557507,-0.0113076795557507,,0.013390622119223,-0.0346105727005578,-0.0346105727005578,,0.0115813328553251,-0.0422533258854826,-0.0422533258854826,
1998-09-01,0.0143762773320634,-0.0329340827406223,-0.0329340827406223,,0.0148023195224542,-0.0113076795557507,-0.0113076795557507,,0.013390622119223,-0.0346105727005578,-0.0346105727005578,
1998-10-01,0.0236216478426509,0.0092132192109755,0.0092132192109737,,0.0143762773320634,-0.0329340827406223,-0.0329340827406223,,0.0148023195224542,-0.0113076795557507,-0.0113076795557507,
1998-11-01,0.021589776852398,0.0127463787726735,0.0127463787726718,,0.0236216478426509,0.0092132192109755,0.0092132192109737,,0.0143762773320634,-0.0329340827406223,-0.0329340827406223,
1998-12-01,0.0201722302388951,-0.0053415506360661,-0.0053415506360661,,0.021589776852398,0.0127463787726735,0.0127463787726718,,0.0236216478426509,0.0092132192109755,0.0092132192109737,
1999-01-01,-0.0669682640363014,0.2363699405285562,0.2363699405285562,,0.0201722302388951,-0.0053415506360661,-0.0053415506360661,,0.021589776852398,0.0127463787726735,0.0127463787726718,
1999-02-01,0.0050220772117537,0.1824169356866782,0.1824169356866782,,-0.0669682640363014,0.2363699405285562,0.2363699405285562,,0.0201722302388951,-0.0053415506360661,-0.0053415506360661,
1999-03-01,0.0041156503396866,0.136957804436955,0.136957804436955,,0.0050220772117537,0.1824169356866782,0.1824169356866782,,-0.0669682640363014,0.2363699405285562,0.2363699405285562,
1999-04-01,0.0004085119082315,0.1138230554639339,0.1138230554639339,,0.0041156503396866,0.136957804436955,0.136957804436955,,0.0050220772117537,0.1824169356866782,0.1824169356866782,
1999-05-01,0.023355134770874,0.175254628534363,0.175254628534363,,0.0004085119082315,0.1138230554639339,0.1138230554639339,,0.0041156503396866,0.136957804436955,0.136957804436955,
1999-06-01,0.0043291057399699,0.1522320323124866,0.1522320323124883,,0.023355134770874,0.175254628534363,0.175254628534363,,0.0004085119082315,0.1138230554639339,0.1138230554639339,
1999-07-01,0.0117077484477725,0.1547859635027766,0.1547859635027766,,0.0043291057399699,0.1522320323124866,0.1522320323124883,,0.023355134770874,0.175254628534363,0.175254628534363,
1999-08-01,-0.0042093533421958,0.1134718796442637,0.1134718796442637,,0.0117077484477725,0.1547859635027766,0.1547859635027766,,0.0043291057399699,0.1522320323124866,0.1522320323124883,
1999-09-01,-0.0077908782972162,0.1012483614624759,0.1012483614624759,,-0.0042093533421958,0.1134718796442637,0.1134718796442637,,0.0117077484477725,0.1547859635027766,0.1547859635027766,
1999-10-01,-0.0217615464692801,0.066296278811107,0.0662962788111087,,-0.0077908782972162,0.1012483614624759,0.1012483614624759,,-0.0042093533421958,0.1134718796442637,0.1134718796442637,
1999-11-01,-0.0158642482876132,0.0629750235477164,0.0629750235477182,,-0.0217615464692801,0.066296278811107,0.0662962788111087,,-0.0077908782972162,0.1012483614624759,0.1012483614624759,
1999-12-01,-0.0245921946842084,0.1159007696154486,0.1159007696154486,,-0.0158642482876132,0.0629750235477164,0.0629750235477182,,-0.0217615464692801,0.066296278811107,0.0662962788111087,
2000-01-01,-0.0677553359283589,-0.2540631264018333,-0.2540631264018333,,-0.0245921946842084,0.1159007696154486,0.1159007696154486,,-0.0158642482876132,0.0629750235477164,0.0629750235477182,
2000-02-01,-0.1051075432304724,-0.0309952172735741,-0.0309952172735741,,-0.0677553359283589,-0.2540631264018333,-0.2540631264018333,,-0.0245921946842084,0.1159007696154486,0.1159007696154486,
2000-03-01,-0.0441890473848456,0.0023790157091614,0.0023790157091614,,-0.1051075432304724,-0.0309952172735741,-0.0309952172735741,,-0.0677553359283589,-0.2540631264018333,-0.2540631264018333,
2000-04-01,-0.0616996448193472,-0.0074842645941721,-0.0074842645941721,,-0.0441890473848456,0.0023790157091614,0.0023790157091614,,-0.1051075432304724,-0.0309952172735741,-0.0309952172735741,
2000-05-01,-0.126939204202042,-0.0992711869636959,-0.0992711869636959,,-0.0616996448193472,-0.0074842645941721,-0.0074842645941721,,-0.0441890473848456,0.0023790157091614,0.0023790157091614,
2000-06-01,-0.1078458814411238,-0.1158125013707422,-0.115812501370744,,-0.126939204202042,-0.0992711869636959,-0.0992711869636959,,-0.0616996448193472,-0.0074842645941721,-0.0074842645941721,
2000-07-01,-0.1111135732073354,-0.1259212947096095,-0.1259212947096095,,-0.1078458814411238,-0.1158125013707422,-0.115812501370744,,-0.126939204202042,-0.0992711869636959,-0.0992711869636959,
2000-08-01,-0.0975621501650145,-0.090147775377046,-0.090147775377046,,-0.1111135732073354,-0.1259212947096095,-0.1259212947096095,,-0.1078458814411238,-0.1158125013707422,-0.115812501370744,
2000-09-01,-0.092305795004778,-0.0894124817560619,-0.0894124817560602,,-0.0975621501650145,-0.090147775377046,-0.090147775377046,,-0.1111135732073354,-0.1259212947096095,-0.1259212947096095,
2000-10-01,-0.0909518173688876,-0.0624339423253559,-0.0624339423253559,,-0.092305795004778,-0.0894124817560619,-0.0894124817560602,,-0.0975621501650145,-0.090147775377046,-0.090147775377046,
2000-11-01,-0.0978555525990287,-0.0623061272017064,-0.0623061272017064,,-0.0909518173688876,-0.0624339423253559,-0.0624339423253559,,-0.092305795004778,-0.0894124817560619,-0.0894124817560602,
2000-12-01,-0.0960953296168671,-0.099581508974305,-0.099581508974305,,-0.0978555525990287,-0.0623061272017064,-0.0623061272017064,,-0.0909518173688876,-0.0624339423253559,-0.0624339423253559,
2001-01-01,0.1862974692207792,0.1691815663602742,0.1691815663602742,,-0.0960953296168671,-0.099581508974305,-0.099581508974305,,-0.0978555525990287,-0.0623061272017064,-0.0623061272017064,
2001-02-01,0.0842850412001041,-0.0200387594525732,-0.0200387594525732,,0.1862974692207792,0.1691815663602742,0.1691815663602742,,-0.0960953296168671,-0.099581508974305,-0.099581508974305,
2001-03-01,0.0258436647156834,-0.1367524683846941,-0.1367524683846941,,0.0842850412001041,-0.0200387594525732,-0.0200387594525732,,0.1862974692207792,0.1691815663602742,0.1691815663602742,
2001-04-01,0.00900322568285,-0.0667875963122313,-0.0667875963122313,,0.0258436647156834,-0.1367524683846941,-0.1367524683846941,,0.0842850412001041,-0.0200387594525732,-0.0200387594525732,
2001-05-01,0.0460630185701038,-0.0281226969662053,-0.0281226969662053,,0.00900322568285,-0.0667875963122313,-0.0667875963122313,,0.0258436647156834,-0.1367524683846941,-0.1367524683846941,
2001-06-01,0.0258595810043704,0.0176431922773119,0.0176431922773137,,0.0460630185701038,-0.0281226969662053,-0.0281226969662053,,0.00900322568285,-0.0667875963122313,-0.0667875963122313,
2001-07-01,0.0299984412346923,0.0380897484419016,0.0380897484419016,,0.0258595810043704,0.0176431922773119,0.0176431922773137,,0.0460630185701038,-0.0281226969662053,-0.0281226969662053,
2001-08-01,0.0273840231167632,0.025362759452765,0.025362759452765,,0.0299984412346923,0.0380897484419016,0.0380897484419016,,0.0258595810043704,0.0176431922773119,0.0176431922773137,
2001-09-01,0.0259810926800483,0.0346896302377484,0.0346896302377466,,0.0273840231167632,0.025362759452765,0.025362759452765,,0.0299984412346923,0.0380897484419016,0.0380897484419016,
2001-10-01,0.0278058726105463,0.0406677871405989,0.0406677871405989,,0.0259810926800483,0.0346896302377484,0.0346896302377466,,0.0273840231167632,0.025362759452765,0.025362759452765,
2001-11-01,0.0297382237629744,0.0571769879086918,0.05717698790869,,0.0278058726105463,0.0406677871405989,0.0406677871405989,,0.0259810926800483,0.0346896302377484,0.0346896302377466,
2001-12-01,0.0342081594443595,0.0740357069403572,0.0740357069403572,,0.0297382237629744,0.0571769879086918,0.05717698790869,,0.0278058726105463,0.0406677871405989,0.0406677871405989,
2002-01-01,-0.1994951290203097,0.3570439930264495,0.3570439930264495,,0.0342081594443595,0.0740357069403572,0.0740357069403572,,0.0297382237629744,0.0571769879086918,0.05717698790869,
2002-02-01,-0.0080143597344051,-0.1824553897705989,-0.1824553897705989,,-0.1994951290203097,0.3570439930264495,0.3570439930264495,,0.0342081594443595,0.0740357069403572,0.0740357069403572,
2002-03-01,-0.0075427062801107,-0.2101794834311778,-0.2101794834311778,,-0.0080143597344051,-0.1824553897705989,-0.1824553897705989,,-0.1994951290203097,0.3570439930264495,0.3570439930264495,
2002-04-01,0.0124080239885842,-0.1055390028518452,-0.1055390028518434,,-0.0075427062801107,-0.2101794834311778,-0.2101794834311778,,-0.0080143597344051,-0.1824553897705989,-0.1824553897705989,
2002-05-01,0.0185901804774299,-0.0533341010619192,-0.0533341010619192,,0.0124080239885842,-0.1055390028518452,-0.1055390028518434,,-0.0075427062801107,-0.2101794834311778,-0.2101794834311778,
2002-06-01,0.028757466700835,-0.0251704208363889,-0.0251704208363907,,0.0185901804774299,-0.0533341010619192,-0.0533341010619192,,0.0124080239885842,-0.1055390028518452,-0.1055390028518434,
2002-07-01,0.0280058236623865,0.0318678667788461,0.0318678667788461,,0.028757466700835,-0.0251704208363889,-0.0251704208363907,,0.0185901804774299,-0.0533341010619192,-0.0533341010619192,
2002-08-01,0.0305195070825021,0.0407318326796914,0.0407318326796897,,0.0280058236623865,0.0318678667788461,0.0318678667788461,,0.028757466700835,-0.0251704208363889,-0.0251704208363907,
2002-09-01,0.035860672717261,0.03697938403368,0.03697938403368,,0.0305195070825021,0.0407318326796914,0.0407318326796897,,0.0280058236623865,0.0318678667788461,0.0318678667788461,
2002-10-01,0.0315631024594864,0.0381026893436953,0.0381026893436953,,0.035860672717261,0.03697938403368,0.03697938403368,,0.0305195070825021,0.0407318326796914,0.0407318326796897,
2002-11-01,0.0412001768056313,0.0606007408075406,0.0606007408075424,,0.0315631024594864,0.0381026893436953,0.0381026893436953,,0.035860672717261,0.03697938403368,0.03697938403368,
2002-12-01,0.0422619404587347,0.1068938263440628,0.1068938263440628,,0.0412001768056313,0.0606007408075406,0.0606007408075424,,0.0315631024594864,0.0381026893436953,0.0381026893436953,
2003-01-01,0.246492861848985,0.0575051275356237,0.0575051275356237,0.0412211491212364,0.0422619404587347,0.1068938263440628,0.1068938263440628,,0.0412001768056313,0.0606007408075406,0.0606007408075424,
2003-02-01,0.1028065755133162,0.0563996884621236,0.0563996884621236,0.0432629525549952,0.246492861848985,0.0575051275356237,0.0575051275356237,0.0412211491212364,0.0422619404587347,0.1068938263440628,0.1068938263440628,
2003-03-01,0.0887963490426511,0.1360935709931077,0.1360935709931077,0.0471021161759299,0.1028065755133162,0.0563996884621236,0.0563996884621236,0.0432629525549952,0.246492861848985,0.0575051275356237,0.0575051275356237,0.0412211491212364
2003-04-01,0.0847328931542037,0.1724339125729894,0.1724339125729876,0.0527109710901161,0.0887963490426511,0.1360935709931077,0.1360935709931077,0.0471021161759299,0.1028065755133162,0.0563996884621236,0.0563996884621236,0.0432629525549952
