_date_,FIND1F,FIND2F,FIND3F,FIND4F,FIND5F,FIND6F
2011-12-01,-4.104465,-0.659276,2.031608,-0.514981,0.706334,-1.307531
2012-01-01,-4.822164,-0.549063,1.898009,-0.041918,0.761542,-1.348689
2012-02-01,-4.846104,-0.364931,1.822546,0.193259,0.537212,-0.988824
2012-03-01,-4.881142,-0.566362,1.654836,-0.277226,0.674804,-0.603969
2012-04-01,-4.975713,-0.695879,1.553322,-0.16071,0.362627,-0.842855
2012-05-01,-5.264409,-0.582271,1.411173,0.05985,0.319982,-0.642173
2012-06-01,-5.313625,-0.302001,1.49361,0.003901,0.403679,-0.74227
2012-07-01,-5.670014,-0.158309,1.585836,0.180235,0.208559,-0.881579
2012-08-01,-5.559147,0.216008,2.05158,0.847588,0.449801,-1.076664
2012-09-01,-5.750655,0.272174,2.124231,0.223136,1.204889,-0.475034
2012-10-01,-5.633656,-0.049161,2.122866,-0.614423,1.140491,-0.704755
2012-11-01,-5.781322,-0.04864,1.693554,0.050296,0.195099,-0.749709
2012-12-01,-5.275543,0.469305,2.007333,0.495652,0.163669,-0.967179
2013-01-01,-4.930231,0.798102,1.983186,-0.186608,0.663187,-0.997382
2013-02-01,-4.504114,0.742736,1.672413,-0.337558,0.160368,-1.315709
2013-03-01,-4.220573,0.752216,1.393561,-0.255067,0.741977,-1.06673
2013-04-01,-3.86043,0.943871,0.993026,-0.118474,-0.053535,-1.397632
2013-05-01,-3.589518,1.234591,0.890749,0.724284,-0.468059,-1.308633
2013-06-01,-3.147163,1.831243,0.858614,0.647285,0.425004,-0.259339
2013-07-01,-2.615656,1.476576,0.906456,-0.336468,1.5967,-0.074857
2013-08-01,-2.134758,1.175105,0.45108,-0.791847,0.412223,-0.807836
2013-09-01,-1.578054,1.291711,0.22104,-0.083581,-0.333285,-1.089489
2013-10-01,-1.236897,1.591912,0.11013,-0.059153,-0.380186,-1.086442
2013-11-01,-0.773219,1.679144,0.353226,-0.703055,0.630348,-1.088914
2013-12-01,-0.662054,1.553233,0.166965,-0.249248,-0.087708,-1.786305
2014-01-01,-0.237604,1.347724,-0.104728,0.16271,0.081431,-1.081754
2014-02-01,0.094363,1.529085,-0.301309,-0.2739,0.740165,-0.891825
2014-03-01,0.242717,1.502307,-0.748626,0.164298,-0.223315,-0.913823
2014-04-01,0.742498,1.621779,-0.549057,0.184751,0.460956,-0.640347
2014-05-01,1.273454,1.453563,-0.453055,-0.419879,1.063868,-0.640596
2014-06-01,1.608375,0.706152,-0.585615,-0.613625,0.116498,-1.314908
2014-07-01,1.740372,0.893831,-0.830346,-0.129638,-0.575264,-1.120343
2014-08-01,1.787759,0.797356,-0.998847,-0.425255,0.33751,-0.393144
2014-09-01,1.806219,0.528777,-1.060011,-0.482703,-0.231189,-1.04256
2014-10-01,1.635851,0.440337,-1.075508,0.152169,-0.09829,-0.974919
2014-11-01,1.772022,0.977893,-1.027467,0.735972,-0.29776,-1.130674
2014-12-01,1.68451,1.136388,-1.032161,-0.209358,0.996573,-0.336368
2015-01-01,1.755216,0.968697,-1.2623,-0.815225,0.502642,-1.096069
2015-02-01,1.728899,0.860422,-1.246099,0.214775,-0.076831,-1.266758
2015-03-01,2.724378,1.085419,-1.099586,0.636225,0.166859,-1.330663
2015-04-01,3.229313,0.622302,-1.313166,0.022696,0.478956,-0.778279
2015-05-01,3.64242,0.321615,-1.620543,-0.031312,-0.17869,-0.758617
2015-06-01,3.669061,0.284732,-1.69853,0.316645,0.416444,0.037241
2015-07-01,3.839485,0.157093,-1.521913,-0.056566,0.260153,-0.739511
2015-08-01,3.668158,0.120583,-1.740098,0.143552,-0.177013,-0.72944
2015-09-01,3.437403,0.346708,-1.795512,-0.041566,0.415825,-0.575768
2015-10-01,3.291371,0.414726,-1.970126,0.001422,0.194432,-0.687825
2015-11-01,3.093403,0.289785,-1.818643,0.031954,0.267164,-1.026858
2015-12-01,3.116539,0.306074,-1.749958,0.383611,0.212555,-0.940539
2016-01-01,2.861445,0.14055,-1.761992,0.455698,0.634119,-0.798833
2016-02-01,2.905451,0.07633,-1.814398,0.275843,1.007633,-0.952369
2016-03-01,2.331526,-0.34594,-2.145839,-0.161681,1.440394,-0.909675
2016-04-01,2.458219,-0.190106,-2.346171,0.557205,0.441988,-1.379982
2016-05-01,2.242357,-0.173903,-2.465293,0.279474,1.326109,-0.51756
2016-06-01,2.333311,-0.427076,-2.57438,-0.199918,0.256508,-1.1843
2016-07-01,1.878268,-0.545653,-2.663469,0.477536,0.295825,-0.526355
2016-08-01,1.881249,-0.331729,-2.270427,0.493966,0.529254,-0.566073
2016-09-01,1.794641,-0.24657,-2.038226,0.966264,0.311955,-0.527883
2016-10-01,1.994547,-0.155256,-1.591432,0.755252,0.76792,-0.230404
2016-11-01,2.239708,-0.286432,-1.479504,0.495765,1.075836,0.176365
2016-12-01,2.508138,-0.558577,-1.513027,0.264035,0.253553,0.29138
2017-01-01,2.942117,-0.497957,-1.026666,0.445376,-0.097999,0.342984
2017-02-01,3.023677,-0.70713,-0.823132,0.136998,-0.293178,0.628058
2017-03-01,3.226243,-0.725057,-0.523158,0.121362,-0.748251,0.334856
2017-04-01,3.133519,-0.933953,-0.820873,0.238681,-0.293629,0.980832
2017-05-01,3.51219,-0.795486,-0.902641,0.69807,-0.807991,0.710573
2017-06-01,3.969512,-0.585687,-1.003366,0.939485,0.117775,1.125798
2017-07-01,4.085043,-0.323754,-0.970179,0.071705,-0.110147,0.621407
2017-08-01,3.86568,-0.284327,-1.029173,-0.222478,-0.301822,0.502606
2017-09-01,3.695762,-0.107203,-0.924479,-0.001156,-0.617659,0.336608
2017-10-01,3.915666,-0.16645,-1.155773,0.411463,-0.612662,0.723591
2017-11-01,4.291878,-0.045804,-1.282347,-0.022577,-0.396222,1.060097
2017-12-01,4.443653,-0.093754,-1.404567,-0.053609,-0.468449,0.904513
2018-01-01,4.130938,-0.450129,-1.468885,-0.442479,-0.450519,0.497261
2018-02-01,3.617405,-0.672789,-1.51828,0.030464,-0.556776,-0.114277
