_date_,FCON1F,FCON2F,FCON3F,FCON4F,FCON5F
2012-11-01,-9.464368,-1.537229,0.438292,1.861176,0.28597
2012-12-01,-8.889116,-1.929286,0.190694,1.977786,0.665966
2013-01-01,-8.943563,-1.445894,0.91147,2.778767,-0.15437
2013-02-01,-8.882184,-1.738874,1.274318,2.417455,1.292669
2013-03-01,-8.914512,-1.438136,1.282585,3.120769,1.480036
2013-04-01,-8.402062,-1.820523,0.832946,3.099431,1.512787
2013-05-01,-8.09132,-2.213824,0.329985,2.825695,1.374336
2013-06-01,-7.510433,-2.457216,0.467631,2.9309,1.191758
2013-07-01,-7.255669,-2.693937,0.431607,3.035354,1.979869
2013-08-01,-7.324602,-2.753158,0.58828,4.217474,1.935691
2013-09-01,-6.757276,-3.124164,0.127803,3.832829,1.886837
2013-10-01,-6.958721,-3.810987,0.124365,3.563286,1.253863
2013-11-01,-5.864357,-3.938671,0.001292,2.47955,1.807964
2013-12-01,-5.536624,-3.947693,0.391789,2.169001,2.543038
2014-01-01,-4.188333,-3.699333,-0.35057,1.041674,3.248283
2014-02-01,-3.270274,-4.107371,-1.069617,0.946684,2.743198
2014-03-01,-2.410387,-5.058993,-1.725463,1.091751,2.595864
2014-04-01,-2.007489,-5.514413,-1.772553,1.436083,3.207395
2014-05-01,-1.767732,-5.551725,-1.687525,1.976512,3.625397
2014-06-01,-1.869673,-5.70143,-1.370148,1.181712,2.986472
2014-07-01,-1.314871,-5.224685,-0.895164,1.307122,2.029266
2014-08-01,-0.779028,-5.012334,-0.660621,0.682174,1.296885
2014-09-01,0.017047,-4.188502,-0.648619,0.394109,1.52733
2014-10-01,0.356318,-3.895293,-0.615349,-0.11932,1.691931
2014-11-01,0.053617,-3.452906,-0.446683,-0.569266,2.038691
2014-12-01,-0.020648,-3.385186,-0.44326,-0.307343,1.431046
2015-01-01,-0.139353,-3.865087,-0.573358,-0.744277,1.232893
2015-02-01,0.051054,-3.802707,-0.555541,-1.088865,0.362974
2015-03-01,0.421151,-4.037935,-0.442945,-1.623075,0.068546
2015-04-01,0.828706,-4.022766,-0.405531,-1.103874,-0.413949
2015-05-01,1.236252,-4.203561,-0.296436,-1.02174,-0.009044
2015-06-01,1.171559,-4.20403,-0.433164,-0.789536,0.301982
2015-07-01,0.958114,-3.941933,-0.625072,-0.936395,-0.077533
2015-08-01,1.012656,-3.658228,-0.934615,-1.294292,-0.655333
2015-09-01,1.1917,-3.839133,-1.251797,-1.209008,-1.431203
2015-10-01,1.032581,-4.084437,-1.336223,-1.217876,-1.301406
2015-11-01,1.45546,-4.506652,-1.603549,-1.013496,-1.53307
2015-12-01,1.545915,-4.299299,-1.653348,-0.98624,-1.25326
2016-01-01,1.128869,-4.386898,-1.658477,-0.395622,-1.57963
2016-02-01,1.080736,-4.609434,-1.69073,-0.263948,-0.789595
2016-03-01,0.229833,-5.378664,-1.799039,-0.445058,-0.801652
2016-04-01,-0.296373,-5.329054,-1.610506,-0.935753,-0.479455
2016-05-01,-1.542653,-5.510685,-1.326421,-0.843729,-0.965728
2016-06-01,-1.806031,-5.104215,-0.984746,-0.47503,-0.406207
2016-07-01,-1.317642,-4.830851,-0.702302,-0.669485,0.157236
2016-08-01,-1.213168,-4.854794,-0.436931,-0.762061,1.453968
2016-09-01,-1.020437,-4.584142,-0.301152,-1.015608,1.62525
2016-10-01,-1.085029,-4.890689,-0.298958,-1.071195,1.268583
2016-11-01,-0.796953,-4.387319,-0.051701,-0.656599,0.844148
2016-12-01,-0.369709,-4.649216,0.111482,-0.481697,0.614565
2017-01-01,-0.29021,-5.095858,0.41749,-0.755942,0.860819
2017-02-01,0.007271,-5.080517,0.640437,-1.013957,0.488253
2017-03-01,0.048047,-4.849153,0.940778,-0.928623,0.068523
2017-04-01,0.979997,-3.844206,1.022486,-1.320576,-0.754284
2017-05-01,1.544242,-3.949502,0.824364,-1.586654,-0.896502
2017-06-01,2.253249,-3.948166,0.40082,-1.944997,-1.019651
2017-07-01,2.424231,-3.955011,0.046772,-1.220055,-0.743952
2017-08-01,2.351313,-3.999234,-0.080314,-1.01206,-0.966355
2017-09-01,2.522516,-3.537475,0.158709,-0.5562,-0.611994
2017-10-01,2.609031,-3.308982,0.409846,-0.185655,-0.099048
2017-11-01,3.180405,-3.129561,0.485581,-0.426404,-0.008434
2017-12-01,2.912739,-3.126152,0.523694,-0.488468,0.289829
2018-01-01,3.248656,-3.005163,0.262323,-0.690036,0.100024
2018-02-01,3.178525,-2.382771,0.022028,-0.362171,0.37101
2018-03-01,3.352133,-2.22927,-0.261046,-0.569794,0.720941
2018-04-01,2.818983,-2.306306,-0.350455,-0.819783,0.059564
2018-05-01,2.9232,-2.20534,-0.375825,-1.467841,-0.638958
2018-06-01,2.928678,-2.196008,-0.1365,-1.512495,-1.52482
2018-07-01,3.110798,-2.551052,-0.065441,-1.706435,-0.939894
2018-08-01,2.478333,-2.983486,0.070611,-1.2834,-0.569437
2018-09-01,2.954077,-2.454473,-0.239557,-1.393708,-1.053443
2018-10-01,3.228269,-1.658338,-0.487046,-1.437706,-1.720203
2018-11-01,3.493463,-1.196479,-0.600359,-1.514511,-1.672486
2018-12-01,2.715356,-1.577602,-0.561261,-1.420676,-1.169797
2019-01-01,2.75234,-1.747616,-0.493026,-1.270133,-0.489568
2019-02-01,2.854835,-1.848333,-0.622701,-1.092812,-1.062036
2019-03-01,3.274178,-1.822823,-0.643808,-0.710367,-1.565319
2019-04-01,3.28421,-1.930031,-0.656018,-0.304304,-1.229112
2019-05-01,2.785114,-1.934069,-0.622489,0.673792,-0.362075
2019-06-01,2.764296,-1.505421,-0.848111,0.880023,0.390484
2019-07-01,2.305736,-1.155696,-1.108285,1.258343,-0.139653
2019-08-01,2.254205,-0.99946,-1.305237,0.433856,-1.034878
2019-09-01,1.824591,-0.965261,-1.228248,0.084532,-1.292678
2019-10-01,1.791211,-1.015787,-1.286542,-0.212554,-1.642465
2019-11-01,1.808333,-0.576748,-1.568233,-0.235212,-1.639842
2019-12-01,1.925027,-0.617,-1.954828,-0.527229,-2.083054
2020-01-01,1.419702,-0.404078,-1.868042,-0.07826,-2.823083
2020-02-01,1.567546,-0.508302,-1.4911,0.010976,-2.421077
2020-03-01,0.088763,0.492461,-1.28778,-0.867114,-1.942642
2020-04-01,-3.343059,1.241896,-0.457302,-3.370593,-1.617882
2020-05-01,-6.046541,0.673546,-0.033038,-4.959223,-1.961622
2020-06-01,-6.057861,-0.795465,0.062367,-4.520192,-2.547533
2020-07-01,-3.267236,-1.334138,-0.71432,-2.814945,-2.501797
2020-08-01,-2.127272,-1.130258,-1.252516,-1.871682,-2.509477
2020-09-01,-1.190458,-0.92467,-1.492469,-1.199979,-1.947342
2020-10-01,-0.850904,-0.510381,-1.243028,-1.074778,-1.598012
2020-11-01,-0.07271,0.081161,-0.966646,-0.686774,-1.477147
2020-12-01,0.02378,0.300919,-0.684945,-0.101454,-1.049475
2021-01-01,0.064044,0.397894,-0.515456,-0.567984,-0.380797
2021-02-01,-0.213313,0.782545,-0.161798,-1.243982,-0.383512
2021-03-01,1.112117,0.262527,0.317557,-1.099676,-0.916605
2021-04-01,4.430479,-1.009549,-0.122562,1.262339,-0.720335
2021-05-01,6.769014,-1.239449,-0.292574,2.088715,0.037659
2021-06-01,6.582015,-0.151227,0.189231,1.186521,1.233771
2021-07-01,4.298965,0.569627,1.665047,-0.706815,1.26217
2021-08-01,3.372608,0.219314,2.843305,-0.992783,1.327606
2021-09-01,3.069484,-0.277216,3.509349,-1.064529,1.754232
2021-10-01,3.090915,-0.608902,3.938958,-1.701498,2.495986
2021-11-01,3.142864,-0.511874,4.240508,-2.556328,2.994338
2021-12-01,3.370783,-0.861368,4.395426,-2.682158,2.417212
2022-01-01,3.879184,-0.496791,4.552244,-1.678468,1.813869
2022-02-01,4.07602,-0.285956,4.702007,-1.619359,1.634381
2022-03-01,3.84113,0.501352,5.083635,-1.334948,1.750514
2022-04-01,3.446553,1.027031,5.550615,-1.49125,1.870926
2022-05-01,3.346267,1.979347,6.221373,-0.638189,1.809208
2022-06-01,3.343773,2.246271,6.443977,-0.062176,1.457272
2022-07-01,3.066689,2.235633,5.990304,0.274701,1.103594
2022-08-01,2.762023,1.4783,5.149431,0.325452,0.632872
2022-09-01,2.624576,1.160743,4.481757,0.015769,0.000835
2022-10-01,3.259149,1.348753,4.045767,0.276155,-0.497559
2022-11-01,3.639225,1.749465,3.60477,1.010932,-0.917446
2022-12-01,3.959217,1.983059,3.076568,1.470218,-0.505964
2023-01-01,3.20742,1.266363,2.540257,1.387446,-0.138369
2023-02-01,2.93193,0.927173,1.808631,1.354183,-0.28405
2023-03-01,3.123513,0.406596,1.012214,1.65794,-0.378818
2023-04-01,3.584542,0.396337,0.149655,1.601662,-0.316775
2023-05-01,3.982132,0.130283,-0.75865,1.518096,-0.322734
2023-06-01,3.653484,0.05503,-1.479295,1.17066,-0.735357
2023-07-01,3.562639,0.386066,-1.64112,0.919281,-0.831842
2023-08-01,2.508428,0.582728,-1.452768,-0.010471,-0.472042
2023-09-01,1.997474,0.692515,-1.305124,-0.579624,-0.134658
2023-10-01,1.635186,0.715042,-1.508084,-0.490001,-0.089636
2023-11-01,2.243765,1.175966,-1.602218,-0.23687,-0.262192
2023-12-01,2.459226,1.758264,-1.505922,-0.241558,0.076835
2024-01-01,2.437385,1.250697,-1.572393,-0.532117,0.387854
2024-02-01,2.422104,0.770295,-1.508269,-1.057507,0.738499
2024-03-01,2.240618,0.428035,-1.558716,-1.454511,1.039467
2024-04-01,2.573768,0.63369,-1.364459,-1.677518,0.496465
2024-05-01,2.689091,0.838325,-1.422587,-1.774054,0.103855
2024-06-01,2.918592,0.647989,-1.311047,-1.982515,-0.019954
2024-07-01,3.339238,1.349137,-1.414636,-1.774414,0.660336
2024-08-01,3.212905,1.512252,-1.534179,-0.53592,0.93684
2024-09-01,3.646869,1.917892,-1.813955,0.46662,0.771409
2024-10-01,3.488366,0.883399,-1.779153,0.039496,0.211298
2024-11-01,3.821595,-0.036745,-1.414603,-1.177177,-0.041419
2024-12-01,3.971544,-0.939579,-0.984055,-1.866882,-0.576206
2025-01-01,3.9642066851720066,-1.0275120103055768,-0.5410703847202666,-1.6756475061787337,-0.7213266517736638
2025-02-01,3.9982102263669326,-0.7858794890004328,-0.3516214565616016,-0.9273001431534067,-0.6904893923896962
2025-03-01,3.8498461707887004,-0.5485395357581528,-0.20852726403049604,-0.7119112734696915,-0.744243034702849
2025-04-01,3.794007355082668,-0.36538216178231286,-0.1181802737513411,-0.7759833976841872,-0.4023668529149379
2025-05-01,3.8302175117140282,-0.23918989358497977,0.10066480412911216,-0.9968843230943825,-0.22209537732889967
2025-06-01,3.8519484146612974,-0.1444547632749934,0.1659819475825014,-0.8262154906299208,-0.04504375068553945
2025-07-01,3.902301359735284,-0.06311619109412836,0.30805691976049576,-0.7703427941946845,-0.4323432881976297
2025-08-01,3.8561602977374974,-0.02384312058694482,0.4578372983434945,-1.1726674207062207,-0.6489229889238177
2025-09-01,3.7422834534833056,0.006057977138789417,0.7310060791374154,-1.6054718452174914,-0.6468707375739382
2025-10-01,3.6827706490626593,0.03250040535366472,0.8137387040940788,-1.4820770790641802,-0.2716548220592412
2025-11-01,3.6894504755672877,0.043387527276501414,0.6710654476777037,-0.9573352313105963,0.02281483596185141
2025-12-01,3.7203859287635397,0.0700238013742186,0.44544879352072153,-0.6357031264093809,0.14111621539121844
