_date_,FCP1F,FCP2F,FCP3F,FCP4F,FCP5F,FCP6F,FCP7F
2011-09-01,-2.978108,1.809697,2.164766,0.807089,0.861986,0.164959,-1.29437
2011-10-01,-3.581951,1.879047,1.926616,1.395418,0.410712,0.165233,-1.404711
2011-11-01,-4.181811,1.81103,1.516282,1.569334,0.7173,-0.220707,-0.954867
2011-12-01,-4.268293,1.249279,2.141052,0.57169,1.749701,-0.497414,-0.484544
2012-01-01,-4.236202,1.010618,2.128972,0.826878,1.851452,-0.322419,-1.189944
2012-02-01,-4.416028,1.252055,1.985767,1.475216,0.668382,0.429341,-1.238224
2012-03-01,-5.344674,1.244645,1.80297,1.321702,-0.116633,-0.091834,-1.496984
2012-04-01,-6.200465,1.643713,1.294212,1.434575,-0.672297,-0.289922,-0.541814
2012-05-01,-6.747249,1.529095,1.187995,0.750517,-0.327227,-0.499693,-0.284913
2012-06-01,-6.373292,1.454609,1.851243,-0.415893,-0.711982,-0.158625,0.861445
2012-07-01,-6.141373,1.689367,1.492833,0.399802,-1.514595,-0.711636,0.46617
2012-08-01,-6.042932,2.192174,1.192073,0.428622,-1.582244,-0.711013,1.088355
2012-09-01,-7.349496,3.039978,0.794406,0.996545,-1.747669,-1.680861,0.238039
2012-10-01,-7.647773,3.485714,0.66997,0.89424,-0.671745,-1.50021,1.598173
2012-11-01,-8.257547,3.453353,0.92002,-0.341693,0.05689,-1.710242,1.224014
2012-12-01,-8.610306,3.386284,0.367576,0.263621,-0.993585,-2.427467,0.984936
2013-01-01,-8.904681,2.805335,0.694479,-0.431529,-1.35253,-3.138178,1.335624
2013-02-01,-8.373058,2.10803,1.261446,-1.093004,-0.588081,-3.941486,1.460064
2013-03-01,-7.108592,1.73567,1.778724,-0.335504,0.489916,-2.924949,1.549222
2013-04-01,-5.912961,0.899245,2.352247,0.121313,1.113499,-2.060618,1.021185
2013-05-01,-5.384152,0.720447,2.566676,0.966626,0.815143,-1.582405,0.80105
2013-06-01,-5.101378,0.409352,2.122053,1.611597,1.392772,-2.264393,0.41472
2013-07-01,-4.889696,0.102194,2.609633,0.924742,2.275448,-2.095439,-0.443269
2013-08-01,-4.327317,-0.377865,2.732267,1.319317,2.788109,-2.101638,-1.499758
2013-09-01,-2.627114,-1.570186,3.379376,0.519662,3.083036,-1.237763,-0.199944
2013-10-01,-1.42709,-2.307257,3.500366,0.528164,2.124902,-1.608192,-1.083903
2013-11-01,0.162166,-2.746471,3.11911,1.780637,1.262461,-1.343532,-0.361098
2013-12-01,0.775534,-2.744651,3.14236,1.701097,1.618835,-0.585161,-0.467446
