_date_,FEXP1F,FEXP2F,FEXP3F,FEXP4F,FEXP5F
2016-01-01,0.765367,0.257973,0.573412,-0.04348,0.215173
2016-02-01,0.769825,0.252463,0.313201,-0.207772,0.442083
2016-03-01,0.5672,-0.320185,-0.080684,0.343494,0.670364
2016-04-01,0.579917,-0.02134,-0.055627,-0.776038,0.566049
2016-05-01,0.585749,0.421873,-0.145817,-0.359175,0.444613
2016-06-01,0.748711,0.05891,0.451407,0.32368,0.524243
2016-07-01,0.267598,-0.774527,-0.156533,0.701551,0.496213
2016-08-01,0.221768,-0.06231,-0.388533,-1.200083,0.270004
2016-09-01,0.229506,0.059108,-0.753764,0.008008,0.739311
2016-10-01,0.561781,-0.291359,0.003489,-0.06269,1.037691
2016-11-01,0.520854,0.250841,-0.331362,-0.864625,0.815666
2016-12-01,0.737005,0.244148,-0.055661,-0.052506,0.803091
2017-01-01,1.17446,0.875371,0.879262,-0.848976,0.289936
2017-02-01,1.168815,0.791562,0.87443,0.218754,0.19838
2017-03-01,1.412338,0.916361,1.796527,-0.327924,0.244099
2017-04-01,1.00533,0.332137,0.718757,0.878866,0.515051
2017-05-01,1.157205,0.494169,0.90693,-0.676246,0.608917
2017-06-01,1.0561,0.663498,0.196305,-0.261532,0.673804
2017-07-01,1.243161,0.30556,0.944143,0.076727,1.159995
2017-08-01,1.077134,0.494413,0.700842,-0.629094,1.256275
2017-09-01,1.117325,0.743971,0.646227,-0.385089,1.176126
2017-10-01,1.195705,0.695568,1.074132,-0.231344,1.093523
2017-11-01,1.066941,0.501237,0.981793,-0.068881,0.847566
2017-12-01,0.749819,0.2628,0.848873,0.120947,0.822772
2018-01-01,0.567603,0.269447,0.534386,-0.229018,0.799524
2018-02-01,0.386119,0.193463,0.300309,0.049296,0.839593
2018-03-01,0.323373,-0.19714,0.01554,0.068458,0.921944
2018-04-01,0.224677,0.160892,0.084269,-0.824322,0.753059
2018-05-01,0.154966,0.033963,-0.036248,-0.016813,0.842542
2018-06-01,0.080375,-0.152225,0.264678,0.021325,0.855137
2018-07-01,0.004033,0.24769,-0.000584,-0.729761,0.437325
2018-08-01,0.020566,0.270225,0.20345,0.070667,0.256447
2018-09-01,-0.16185,-0.468488,0.200313,0.727555,0.432518
2018-10-01,-0.280004,-0.055418,-0.265997,-0.659231,0.092929
2018-11-01,-0.347753,-0.169409,-0.773949,0.224251,0.427319
2018-12-01,-0.175299,-0.588493,-0.355478,0.113925,0.466077
2019-01-01,-0.423324,-0.544891,-0.920182,-0.255209,0.368826
2019-02-01,-0.334282,-0.370251,-0.773404,-0.42824,0.304362
2019-03-01,-0.308977,-0.32199,-0.610952,-0.103806,0.401565
2019-04-01,-0.151555,-0.163123,-0.44621,-0.298445,0.220249
2019-05-01,-0.127312,0.049059,-0.204128,-0.251631,0.076818
2019-06-01,-0.107815,-0.116053,0.058339,0.219894,-0.195507
2019-07-01,-0.208574,-0.036074,0.152881,0.073347,-0.070095
2019-08-01,-0.406545,-0.422869,-0.336965,0.399534,0.03076
2019-09-01,-0.307459,-0.051436,-0.180364,-0.615385,0.048104
2019-10-01,-0.322362,0.063299,-0.359635,-0.030957,0.155109
