_date_,FSER1F,FSER2F,FSER3F,FSER4F,FSER5F,FSER6F
2024-06-01,2.169863,1.828708,0.086962,1.406523,1.632272,0.732929
2024-07-01,2.208705,2.038472,0.043483,1.391107,1.324567,0.648193
2024-08-01,2.465033,2.410017,0.403143,1.155772,1.410726,1.043849
2024-09-01,2.381121,2.175108,0.543534,0.80421,1.459017,0.817773
2024-10-01,2.51966,2.199491,0.574237,0.501575,1.635958,1.180716
2024-11-01,2.14146,2.047993,0.03315,0.544266,1.327081,0.224331
2024-12-01,2.088825,2.001599,0.112816,0.949199,0.639064,0.47212
2025-01-01,1.8990225533367084,1.895719074038436,0.6026903054312996,1.2647934602749977,0.5510016600617387,0.1383369018202666
2025-02-01,1.839039507072917,1.8581512148465495,0.3324446074580435,1.2666508757920056,0.5697064114732187,0.18453845135293712
2025-03-01,1.7697508117123388,1.792551093422683,0.21619111170443758,1.1637120640778233,0.47589936591956294,-0.015191222213904843
2025-04-01,1.7944842806488204,1.9184910766807808,0.02398880105481141,0.9543733995511796,0.5928142261130809,-0.48640056021100786
2025-05-01,1.7302451081884382,1.9525361350865678,0.4446299834135784,0.9671376704981891,-0.5005422834387513,0.013762875872508018
2025-06-01,1.5691364897356235,1.814104002056826,2.5337360858516074,1.4291003672469347,-0.6805018259259642,-0.10746787231109411
2025-07-01,1.494234615130041,1.6887632329741362,2.597556046149228,1.5221706249943652,-0.5558140960462464,-0.10981359218557996
2025-08-01,1.2776865179493275,1.6191706063914766,2.1183254377601686,1.568586367587118,-0.8069449909951202,-0.4783311419756061
2025-09-01,1.2167740900250008,1.7219768541498177,1.545148610604885,1.625518524836266,-0.972004357652224,-0.15460817692321382
2025-10-01,1.166497555682564,1.7236418910229536,1.4314901088776688,1.6973991719784427,-1.1688119299154938,-0.2738482125259182
2025-11-01,1.296838006727877,1.716267643964296,1.6849399047927114,1.7184663270171932,-1.144739703199913,-0.07123622094685322
2025-12-01,1.2374388240922283,1.6732628714256774,1.6679650891343136,1.6816766950623023,-0.6632056235959488,-0.14956155039946506
