_date_	fexp1	fexp2	fexp3	fexp4	fexp5
2011-04-01	1.7158673171230838	1.0436506984102316	1.9036564702333832	-0.19921827523093616	-1.0390425221215812
2011-05-01	1.4339583617090006	0.7808584860127256	1.5661995175827096	-0.43496101905519584	-0.99844229702896336
2011-06-01	1.2809892638061476	0.32692701506953596	1.4170815213559334	-0.25176739073174992	-0.9568503687425352
2011-07-01	1.0211243453641132	0.60198786219967792	1.0920875796715454	0.0032071309416992732	-0.38228019945949512
2011-08-01	1.111495975472356	0.97807545086699584	1.1583710547997172	0.33533591114013744	-0.51994062053851872
2011-09-01	1.2165787171950154	0.85181790599231328	1.3248309350094238	-0.41758403515267992	-0.13327149863715954
2011-10-01	1.0424901956396016	0.37594537265815256	1.3306899075498144	-0.502805767651024	-0.10091084515383756
2011-11-01	0.63285261469475472	0.20642968648500256	0.8866408003218712	-0.095788286417172016	-0.2176780006561506
2011-12-01	0.26772084932181016	0.03751096367412268	0.5167399058946748	-0.47872713333260016	-0.4263762541121208
2012-01-01	-0.095647927517240752	-0.2845396651438278	0.28235042811106352	-0.52530535580537376	-0.49299433689254232
2012-02-01	-0.43821989606152592	-0.4409857333338468	-0.18610008896963	-0.18674013970843764	-0.48988117042359328
2012-03-01	-0.73813945937350528	-0.50788858773262632	-0.45672776627032648	-0.31112962052247516	-0.50414200112793784
2012-04-01	-0.9646987271236536	-0.63214005971269592	-0.53015843205633352	-0.20629709369204224	-0.38510855548662872
2012-05-01	-0.96255311228601808	-0.23033622309870408	-0.66757304192337216	0.18439731220413208	-0.52167043528704304
2012-06-01	-0.6751772629838796	0.17472026798433738	-0.54200721382021456	-0.02325928196549246	-0.31604050880508972
2012-07-01	-0.34948669165851264	0.037008087405195984	-0.15050257358700444	-0.24923708883513516	-0.3363000411078884
2012-08-01	-0.13955888069402886	0.15689944829540684	0.082278871235378992	0.037029144211405872	-0.1236973736380609
2012-09-01	-0.2479719923469998	-0.22128503198322852	-0.1642629936148493	-0.61937332258338072	-0.080418404624162192
2012-10-01	-0.24863871347308632	-0.11468897133295262	0.1156622805795971	0.27611367240734848	-0.21129859853845172
2012-11-01	-0.561512265911702	-0.28896549877360444	-0.35808683360368892	-0.50382330019703216	-0.292959406198239
2012-12-01	-0.59841925706625872	-0.3802728806071056	-0.041038923242012328	-0.2229017196312384	-0.40834852278268448
2013-01-01	-0.6990533811565832	-0.036340795010454792	-0.45111126741533992	0.17539989941364136	-0.48579895353247128
2013-02-01	-0.54850216713822904	0.03368856038174968	-0.14544068687033854	-0.24540505331971744	-0.5026783703598988
2013-03-01	-0.349581748850866	0.096890839790125056	0.0095013134666982752	-0.26114619511431304	-0.53831518334637632
2013-04-01	0.079058050872971616	0.87912475080525728	0.3223405667635272	0.5741231325892916	-0.5973401650951604
2013-05-01	0.43347696887119888	0.69752187570821656	0.53683727148487624	-0.6182802722657328	-0.4724879611405992
2013-06-01	0.61358350248307104	0.32060780403945716	1.1612454169995666	-0.4945068012007104	-0.57263863705433152
2013-07-01	0.092078758269312576	-0.22055742227451312	0.35411713446384356	-0.74682551965962576	-0.72273333689111968
2013-08-01	-0.12094704464291916	-0.30847882333078792	0.15120559984966686	-0.22269699452129084	-0.91873025802762944
2013-09-01	-0.19232627638416296	0.2061374539643936	-0.19149019047912412	0.21198199883908876	-1.0067083941556998
2013-10-01	0.042470932829323232	0.099016631018835424	-0.023073381395921228	-0.44500464708488232	-0.67694840925766152
2013-11-01	0.11648409883308096	-0.2872894286764296	-0.047813876265329752	-0.384813572984858	-0.12808036916217102
2013-12-01	0.14885900569672444	-0.11983182569860926	-0.44924726359514384	0.40224792146868296	0.0080886176566490304
2014-01-01	0.32939194070108656	0.10557383976291584	-0.36248255068704264	0.25041886709124328	0.062357031810429776
2014-02-01	0.56882803229778944	0.14784664301304428	0.15690980310953324	0.17161546399096908	0.10050934507341288
2014-03-01	0.38925716418836096	-0.22983202578286112	0.14241444159618378	-0.17847621262990828	0.5013427431175644
2014-04-01	0.17308149684674646	-0.45758765853125168	-0.2177809056614532	-0.06846725549243796	0.33297277913541896
2014-05-01	-0.034520166583997148	-0.35458732125023184	-0.59256574033216712	0.25753550177108188	0.37277648110546896
2014-06-01	-0.058029034662808208	-0.3814981465685032	-0.55804236005240168	0.35424187188582924	0.13070097007258418
2014-07-01	0.24426936310544944	0.42531975772457184	-0.0020544245284368488	0.9054954553161088	0.21018903887443688
2014-08-01	0.3336463037216964	0.2206953409511252	0.027052226818328204	-0.39115159728449112	0.42984476306979904
2014-09-01	0.673742320492046	0.36408089827382648	0.73618055632645216	0.60727883257925456	0.34725599418991092
2014-10-01	0.56818478938887816	0.52412998251793088	0.28569351512976092	0.15962751830185042	0.27566059783831924
2014-11-01	0.75530320697600032	0.3982173605769	0.9944888040598528	0.022154391185053428	0.14296552349427788
2014-12-01	0.59878085039144856	0.48730745557029728	0.85879871198724992	0.1498266999879777	-0.12045101453501856
2015-01-01	0.27867319461293216	-0.13065451472061924	0.60493464716469832	-0.672536653028312	-0.12768595615712386
2015-02-01	0.14090543293254804	-0.060730865618781184	0.34103451176878652	0.30247219490601356	-0.23640719855675292
2015-03-01	0.36684893855600656	0.9545393716819784	0.26148132069098624	0.94063486484515472	-0.6056149260149376
2015-04-01	0.806060566145328	0.84723883096899232	1.0806243358060796	-0.21687477850832156	-0.31324597098025864
2015-05-01	0.83356758603529984	0.26275173556491148	1.3844037851276912	-0.4690140775252776	-0.30750780016788732
2015-06-01	0.62230544795225472	0.5019585329809164	0.8347010282563648	0.44727405949676328	-0.18336829792815804
2015-07-01	0.71075809028631264	0.7219388464517376	0.72499703216833904	0.27930796048464524	-0.21009480720703068
2015-08-01	0.64120476436278416	0.12139195023371372	0.89329900338913696	-0.52716338894517456	0.233313722939102
2015-09-01	0.4358726966113732	0.0610954943735406	0.61617070796760584	0.31172990405263972	0.13809863585618804
2015-10-01	0.24673934600597728	0.14140718320777588	-0.0093486744779240352	0.062838480776140128	0.23500121443907272
2015-11-01	0.50114655119319592	0.34345568821582372	0.35291270071987156	0.45889283866572088	-0.01909764671353658
2015-12-01	0.60615763867001912	0.38578157554450976	0.29011219138431816	0.087385968354788128	-0.050852256191404616
2016-01-01	0.7653671877172176	0.25797311774721548	0.57341182794639536	0.043479563601993728	0.21517336553749956
2016-02-01	0.76982546787356096	0.25246316827622288	0.31320132603240092	0.2077717468529864	0.44208255963707376
2016-03-01	0.56719996655746296	-0.32018524643388812	-0.080684454120528272	-0.34349405113070152	0.67036443364105224
2016-04-01	0.57991714197362872	-0.021340231210567504	-0.055627418630928488	0.77603819139281376	0.56604881597770192
2016-05-01	0.58574931742495136	0.42187254049639064	-0.1458166409477591	0.35917526901728108	0.44461257397245904
2016-06-01	0.74871071765961776	0.058910180197207168	0.4514071988608404	-0.32367967719017044	0.52424253107927384
2016-07-01	0.26759787305441696	-0.77452719429020736	-0.15653264217795446	-0.7015505267887844	0.496213176639782
2016-08-01	0.22176792123742792	-0.062310336756431128	-0.38853332183839488	1.2000826145215678	0.27000399230341276
2016-09-01	0.2295056827937008	0.05910769772922952	-0.7537637094792296	-0.0080084937561813888	0.73931089866604912
2016-10-01	0.56178149578157832	-0.29135893577770984	0.0034893691086987368	0.062689814501599744	1.0376907950949062
2016-11-01	0.52085436054180408	0.25084087288654024	-0.33136188270813288	0.86462482312186544	0.81566573604444016
2016-12-01	0.737004705934996	0.24414848779282976	-0.05566146434872608	0.052506226486184248	0.8030913818498288
2017-01-01	1.1744595805856954	0.87537109035310336	0.87926191599963248	0.84897649694025248	0.28993551441289028
2017-02-01	1.1688150019627044	0.7915616196460416	0.87443049876718576	-0.21875388962228152	0.19838012482254184
2017-03-01	1.4123380310398082	0.91636089810920704	1.7965273359382056	0.327924412570008	0.24409935780811788
2017-04-01	1.0053300794104462	0.33213679332641944	0.71875684083226224	-0.87886578332861136	0.51505118867696976
2017-05-01	1.1572054702896742	0.4941685079855452	0.9069299779464232	0.67624621654254816	0.60891734288697032
2017-06-01	1.0561004288575174	0.66349843611604288	0.19630467885322332	0.26153244916202968	0.6738037793583764
2017-07-01	1.243160735174498	0.30555980816236512	0.94414348641404976	-0.076727447880264544	1.1599948276013106
2017-08-01	1.0771341764916196	0.49441327828035744	0.7008424051463952	0.62909390137527568	1.2562754612303288
2017-09-01	1.1173247218158276	0.74397143646850336	0.64622664268921528	0.3850890021382428	1.176125693395556
2017-10-01	1.1957054734712472	0.695567670091358	1.0741318234023278	0.23134420515628344	1.0935233736429168
2017-11-01	1.066940960154498	0.50123731748771936	0.9817927466745336	0.068880668486241232	0.84756637262387536
2017-12-01	0.74981879309579408	0.26280001676656444	0.84887282586604704	-0.12094729250025144	0.82277206789261472
2018-01-01	0.56760347608913272	0.26944711403230696	0.53438583561355224	0.2290176091002144	0.79952441830316752
2018-02-01	0.38611936537090744	0.19346325222377424	0.30030892826123324	-0.049296350492198992	0.83959288296371328
2018-03-01	0.32337258110393592	-0.19713975531393672	0.015539667473909932	-0.068458367975534384	0.92194443223664672
2018-04-01	0.22467698725226344	0.16089173707091108	0.084269020983839712	0.82432241050785728	0.7530585826560952
2018-05-01	0.15496550227158574	0.033963341511349076	-0.036248172793862472	0.016812894213725344	0.84254206521505984
2018-06-01	0.080374934311644224	-0.15222542697153652	0.26467768313064364	-0.021324704640366808	0.85513670530754544
2018-07-01	0.0040327612703550672	0.24769008898544684	-0.00058440436676723832	0.7297614449323104	0.43732456180998688
2018-08-01	0.02056600575440166	0.27022539103161664	0.2034503894481942	-0.070666703368945064	0.25644702934756016
2018-09-01	-0.1618497255777667	-0.46848777654748744	0.20031307802203844	-0.72755507340246608	0.43251804864023704
2018-10-01	-0.280003895482126	-0.05541775372830256	-0.26599711958252036	0.65923118946465688	0.092929173788671664
2018-11-01	-0.34775330099948896	-0.1694088960274065	-0.7739490001453448	-0.22425107064255036	0.42731930074006928
2018-12-01	-0.17529853615958508	-0.58849292338910032	-0.35547780454944288	-0.11392512872083226	0.46607661604493056
2019-01-01	-0.42332443447869104	-0.54489139825422336	-0.92018221542643584	0.25520915794084196	0.36882609114032296
2019-02-01	-0.33428212224341224	-0.3702507866734104	-0.77340444072548192	0.42824019335027088	0.30436151732677848
2019-03-01	-0.3089767170918948	-0.3219899526762486	-0.61095246516969928	0.10380593710804788	0.40156473925422928
2019-04-01	-0.15155501121530184	-0.16312288187624662	-0.4462097351908688	0.29844454197653388	0.22024874820978164
2019-05-01	-0.12731183229241832	0.04905925628480592	-0.20412797922803084	0.25163050663387088	0.07681819268994024
2019-06-01	-0.1078153746475496	-0.11605304960123926	0.058339103191409488	-0.21989389257495552	-0.19550723258171864
2019-07-01	-0.20857426830304392	-0.036074008925864448	0.15288107161945996	-0.073347343799242896	-0.070095209649775488
2019-08-01	-0.40654450657395832	-0.42286945270578368	-0.33696542407664564	-0.39953370399262232	0.030760283445856436
2019-09-01	-0.30745944259786544	-0.051436350998011192	-0.18036427298423608	0.61538503332387448	0.048104454713748992
2019-10-01	-0.32236216689480112	0.063299185108224288	-0.35963463937704532	0.030957322058098516	0.15510854612078006
2019-11-01	-0.13603801270774274	-0.14109282795541566	0.040050672630715392	-0.08225818707257328	0.55188889562767752
2019-12-01	-0.18480978581732972	0.056589711316300752	-0.22915259515983204	0.36299572583860888	0.64640920892464128
2020-01-01	-0.16685327350336282	-0.062534746399626016	-0.26902750772934336	0.019922992535449696	0.89640844565984304
2020-02-01	-0.15173025009671446	-0.10207882127959086	-0.10269986069397864	0.010678438489503824	0.62524140247518
2020-03-01	-2.9486237931152872	-3.4048829854275412	0.46568212045447208	-2.6449478824487228	0.40043331821907872
2020-04-01	-14.10687647093	-13.163396173905646	5.8770129283000744	-5.0704090101960088	0.83940270880335184
