_date_;FAGR1F_H;FAGR2F_H;FAGR3F_H;FAGR4F_H;FAGR5F_H;FCON1F_H;FCON2F_H;FCON3F_H;FCON4F_H;FCON5F_H;FCP1F_H;FCP2F_H;FCP3F_H;FCP4F_H;FCP5F_H;FCP6F_H;FCP7F_H;FCPU1F_H;FCPU2F_H;FCPU3F_H;FEXP1F_H;FEXP2F_H;FEXP3F_H;FEXP4F_H;FEXP5F_H;FIMP1F_H;FIMP2F_H;FIMP3F_H;FIMP4F_H;FIMPU1F_H;FIMPU2F_H;FIMPU3F_H;FIMPU4F_H;FIND1F_H;FIND2F_H;FIND3F_H;FIND4F_H;FIND5F_H;FIND6F_H;FINV1F_H;FINV2F_H;FINV3F_H;FINV4F_H;FINV5F_H;FSER1F_H;FSER2F_H;FSER3F_H;FSER4F_H;FSER5F_H;FSER6F_H
1998M02;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.428000;-2.262651;-0.660103;0.083157;0.127936;0.477014;-0.084329;0.014113;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1998M03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.342671;-1.786445;-0.320909;0.317397;0.134732;0.559220;-0.063843;0.005987;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1998M04;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.246333;-1.045873;0.098448;0.803524;0.104156;0.647968;-0.042299;0.016623;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1998M05;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.223547;-0.611226;0.396521;1.047335;0.059459;0.709249;-0.035979;0.016457;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1998M06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.249440;-0.660060;0.434689;1.003784;0.043134;0.723643;-0.034709;0.021176;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1998M07;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.277587;-1.062453;0.081259;0.801449;0.044069;0.712970;-0.036845;0.018917;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1998M08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.178128;-1.350699;-0.189177;0.760227;0.050684;0.701444;-0.037689;0.020187;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1998M09;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.812404;-1.373987;-0.417210;0.947821;0.061044;0.694426;-0.044786;0.022327;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1998M10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.363497;-1.308131;-0.428282;1.127207;0.081876;0.699085;-0.062071;0.026498;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1998M11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.051876;-1.296995;-0.067813;1.026764;0.130304;0.727540;-0.102850;0.037966;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
