@date,"@dlog(inv1,0,12)","@dlog(inv2,0,12)","@dlog(inv3,0,12)","@dlog(inv4,0,12)","@dlog(inv5,0,12)","@dlog(inv6,0,12)","@dlog(inv7,0,12)","@dlog(inv8,0,12)",inv9,"@dlog(inv1(-1),0,12)","@dlog(inv2(-1),0,12)","@dlog(inv3(-1),0,12)","@dlog(inv4(-1),0,12)","@dlog(inv5(-1),0,12)","@dlog(inv6(-1),0,12)","@dlog(inv7(-1),0,12)","@dlog(inv8(-1),0,12)",inv9(-1),"@dlog(inv1(-2),0,12)","@dlog(inv2(-2),0,12)","@dlog(inv3(-2),0,12)","@dlog(inv4(-2),0,12)","@dlog(inv5(-2),0,12)","@dlog(inv6(-2),0,12)","@dlog(inv7(-2),0,12)","@dlog(inv8(-2),0,12)",inv9(-2)
2012-03-01,-0.0857589121387283,-0.2469792872984672,-0.1252114947086342,-0.1222548733079325,-0.0062013937641713,-1.1279822147415022,-1.1001338555968534,-1.1461318846723287,3.29,-0.0769652749168523,-0.2791453575524087,-0.0292444612150353,-0.0930956635806206,-0.0016647584074593,-0.1230322139095143,-0.5037582280120994,0.0278211870391125,3.75,-0.0779177405524951,-0.2115180800838505,-0.0612905345404382,-0.0724703955066585,0.0032919160921789,-1.1332224942360885,-1.0883150485037305,-1.1612155956128039,3.92
2012-04-01,-0.0774855782428014,-0.3359416127326522,-0.0960333033746154,-0.1484815698975081,-0.01185788892833,-0.7972292889721331,-0.910193906500398,-0.7351944925307752,3.39,-0.0857589121387283,-0.2469792872984672,-0.1252114947086342,-0.1222548733079325,-0.0062013937641713,-1.1279822147415022,-1.1001338555968534,-1.1461318846723287,3.29,-0.0769652749168523,-0.2791453575524087,-0.0292444612150353,-0.0930956635806206,-0.0016647584074593,-0.1230322139095143,-0.5037582280120994,0.0278211870391125,3.75
2012-05-01,-0.1125203612648029,-0.3315646290495575,-0.0664636896174677,-0.1294134093521552,-0.0092140514173353,0.0029683214218589,-0.6040828747241402,0.142834018900853,3.53,-0.0774855782428014,-0.3359416127326522,-0.0960333033746154,-0.1484815698975081,-0.01185788892833,-0.7972292889721331,-0.910193906500398,-0.7351944925307752,3.39,-0.0857589121387283,-0.2469792872984672,-0.1252114947086342,-0.1222548733079325,-0.0062013937641713,-1.1279822147415022,-1.1001338555968534,-1.1461318846723287,3.29
2012-06-01,-0.0644165417710462,-0.3422967889451502,-0.126855571602003,-0.1115681338306782,-0.0021495209952426,-0.6871624558956881,-0.568874256589602,-0.747794760100982,3.41,-0.1125203612648029,-0.3315646290495575,-0.0664636896174677,-0.1294134093521552,-0.0092140514173353,0.0029683214218589,-0.6040828747241402,0.142834018900853,3.53,-0.0774855782428014,-0.3359416127326522,-0.0960333033746154,-0.1484815698975081,-0.01185788892833,-0.7972292889721331,-0.910193906500398,-0.7351944925307752,3.39
2012-07-01,-0.1023219124476106,-0.2374630001957953,-0.0848625160888625,-0.1100750555341418,-0.0042982494609384,-0.6981229603070016,-0.7951508598175376,-0.650873771351316,3.25,-0.0644165417710462,-0.3422967889451502,-0.126855571602003,-0.1115681338306782,-0.0021495209952426,-0.6871624558956881,-0.568874256589602,-0.747794760100982,3.41,-0.1125203612648029,-0.3315646290495575,-0.0664636896174677,-0.1294134093521552,-0.0092140514173353,0.0029683214218589,-0.6040828747241402,0.142834018900853,3.53
2012-08-01,-0.1033009302150578,-0.276163103552042,-0.0019731912421567,-0.0843325013950808,-0.003511839661014,-0.6942306289449327,-0.6569943669239962,-0.7128508134003421,3.01,-0.1023219124476106,-0.2374630001957953,-0.0848625160888625,-0.1100750555341418,-0.0042982494609384,-0.6981229603070016,-0.7951508598175376,-0.650873771351316,3.25,-0.0644165417710462,-0.3422967889451502,-0.126855571602003,-0.1115681338306782,-0.0021495209952426,-0.6871624558956881,-0.568874256589602,-0.747794760100982,3.41
2012-09-01,-0.1227486474229353,-0.4183161473273244,-0.1828673465145138,-0.1711029934667314,-0.0133432395256685,-1.0380956959479573,-0.4371455779743787,-1.3082699370897828,2.43,-0.1033009302150578,-0.276163103552042,-0.0019731912421567,-0.0843325013950808,-0.003511839661014,-0.6942306289449327,-0.6569943669239962,-0.7128508134003421,3.01,-0.1023219124476106,-0.2374630001957953,-0.0848625160888625,-0.1100750555341418,-0.0042982494609384,-0.6981229603070016,-0.7951508598175376,-0.650873771351316,3.25
2012-10-01,-0.0955162917075451,-0.2285846078494415,-0.1194729152489557,-0.1151178294574242,-0.0095988998845282,-0.2659304070827701,-0.8889187141917193,0.1502475620612031,2.31,-0.1227486474229353,-0.4183161473273244,-0.1828673465145138,-0.1711029934667314,-0.0133432395256685,-1.0380956959479573,-0.4371455779743787,-1.3082699370897828,2.43,-0.1033009302150578,-0.276163103552042,-0.0019731912421567,-0.0843325013950808,-0.003511839661014,-0.6942306289449327,-0.6569943669239962,-0.7128508134003421,3.01
2012-11-01,-0.0732195467111003,-0.2847747988445874,-0.0782304567103091,-0.0901230789630034,-0.0097609961798461,-1.1886637590062836,-0.5049031723697155,-1.3814570269515762,2.25,-0.0955162917075451,-0.2285846078494415,-0.1194729152489557,-0.1151178294574242,-0.0095988998845282,-0.2659304070827701,-0.8889187141917193,0.1502475620612031,2.31,-0.1227486474229353,-0.4183161473273244,-0.1828673465145138,-0.1711029934667314,-0.0133432395256685,-1.0380956959479573,-0.4371455779743787,-1.3082699370897828,2.43
2012-12-01,-0.0422285065281036,-0.4091337150964484,-0.0034109111058615,-0.0998003483687712,-0.0102840642102499,-0.5000748205984351,0.1556817071930467,-1.076991829247378,2.1,-0.0732195467111003,-0.2847747988445874,-0.0782304567103091,-0.0901230789630034,-0.0097609961798461,-1.1886637590062836,-0.5049031723697155,-1.3814570269515762,2.25,-0.0955162917075451,-0.2285846078494415,-0.1194729152489557,-0.1151178294574242,-0.0095988998845282,-0.2659304070827701,-0.8889187141917193,0.1502475620612031,2.31
