@date,"@dlog(cp1,0,12)","@dlog(cp2,0,12)","@dlog(cp3,0,12)","@dlog(cp5,0,12)","@dlog(cp6,0,12)","@dlog(cp7,0,12)","@dlog(cp8,0,12)","@dlog(cp9,0,12)","@dlog(cp10,0,12)","@dlog(cp12,0,12)","@dlog(cp13,0,12)","@dlog(cp14,0,12)",cp16,"@dlog(cp17,0,12)",cp18,"@dlog(cp19,0,12)","@dlog(cp20,0,12)","@dlog(cp21,0,12)","@dlog(cp1(-1),0,12)","@dlog(cp2(-1),0,12)","@dlog(cp3(-1),0,12)","@dlog(cp5(-1),0,12)","@dlog(cp6(-1),0,12)","@dlog(cp7(-1),0,12)","@dlog(cp8(-1),0,12)","@dlog(cp9(-1),0,12)","@dlog(cp10(-1),0,12)","@dlog(cp12(-1),0,12)","@dlog(cp13(-1),0,12)","@dlog(cp14(-1),0,12)",cp16(-1),"@dlog(cp17(-1),0,12)",cp18(-1),"@dlog(cp19(-1),0,12)","@dlog(cp20(-1),0,12)","@dlog(cp21(-1),0,12)","@dlog(cp1(-2),0,12)","@dlog(cp2(-2),0,12)","@dlog(cp3(-2),0,12)","@dlog(cp5(-2),0,12)","@dlog(cp6(-2),0,12)","@dlog(cp7(-2),0,12)","@dlog(cp8(-2),0,12)","@dlog(cp9(-2),0,12)","@dlog(cp10(-2),0,12)","@dlog(cp12(-2),0,12)","@dlog(cp13(-2),0,12)","@dlog(cp14(-2),0,12)",cp16(-2),"@dlog(cp17(-2),0,12)",cp18(-2),"@dlog(cp19(-2),0,12)","@dlog(cp20(-2),0,12)","@dlog(cp21(-2),0,12)"
2006-06-01,0.0313829535971459,0.0039761483796389,0.0221935429599531,-0.0374994076660764,-0.0227766481245499,0.0142824556537615,0.0108700286616763,0.060224640009947,0.0177600777894078,0.0888322348481764,0.0382967754067866,-0.00767855460332,-42.0,0.0387125718240204,-13.2,0.0309446059544971,0.047380715221033,0.0387125718240204,0.0307582752260886,0.0215922023143146,0.0108696722369039,-0.0214719978903294,0.0164830965081357,0.0197105133972792,0.0120395875264041,0.0582939872047463,0.0170123168541476,0.1539049454965404,0.0467402510777432,-0.0014282437201629,-35.7,0.0395274641140375,-12.5,0.0308641003218701,0.0556977832061136,0.0395274641140375,0.0188419611579551,0.0134869160543438,0.0,-0.0023446669592548,-0.1134657669547856,0.0102591392750994,0.0060871750603164,0.0354617880927348,0.0029546548455163,-0.1083439936098091,0.0543758823058961,-0.0097176418971045,-21.2,0.0378367727118966,-11.4,0.0352863568851677,0.0603078698648094,0.0378367727118966
2006-07-01,0.023239606583405,-0.0112813444640398,-0.0295059402026431,-0.0320797356102282,-0.0370305221451161,0.0278813000342239,0.0230317352948459,0.0442436418137948,0.0119245669395997,0.094671051609378,0.0332652552318197,-0.0174596217290865,-27.4,0.0388845105583879,-12.8,0.0269495939635842,0.0401373791064507,0.0388845105583879,0.0313829535971459,0.0039761483796389,0.0221935429599531,-0.0374994076660764,-0.0227766481245499,0.0142824556537615,0.0108700286616763,0.060224640009947,0.0177600777894078,0.0888322348481764,0.0382967754067866,-0.00767855460332,-42.0,0.0387125718240204,-13.2,0.0309446059544971,0.047380715221033,0.0387125718240204,0.0307582752260886,0.0215922023143146,0.0108696722369039,-0.0214719978903294,0.0164830965081357,0.0197105133972792,0.0120395875264041,0.0582939872047463,0.0170123168541476,0.1539049454965404,0.0467402510777432,-0.0014282437201629,-35.7,0.0395274641140375,-12.5,0.0308641003218701,0.0556977832061136,0.0395274641140375
2006-08-01,0.0258182346027657,0.0090498355199173,-0.0179699354849409,-0.0138382346651857,-0.0256381035964388,0.0301539564048951,0.0251414719097873,0.0427151591039223,0.0047080070034279,0.0725501459511086,0.0336579992333252,-0.0177046270740524,-22.7,0.0365362681788088,-11.5,0.0274333525205943,0.0345314585887646,0.0365362681788088,0.023239606583405,-0.0112813444640398,-0.0295059402026431,-0.0320797356102282,-0.0370305221451161,0.0278813000342239,0.0230317352948459,0.0442436418137948,0.0119245669395997,0.094671051609378,0.0332652552318197,-0.0174596217290865,-27.4,0.0388845105583879,-12.8,0.0269495939635842,0.0401373791064507,0.0388845105583879,0.0313829535971459,0.0039761483796389,0.0221935429599531,-0.0374994076660764,-0.0227766481245499,0.0142824556537615,0.0108700286616763,0.060224640009947,0.0177600777894078,0.0888322348481764,0.0382967754067866,-0.00767855460332,-42.0,0.0387125718240204,-13.2,0.0309446059544971,0.047380715221033,0.0387125718240204
2006-09-01,0.0217674944784533,0.0183053260983632,-0.0269558099885287,0.0110411216276071,-0.0633590645535839,0.0169443019940738,0.0261518406111429,0.0338012337112667,0.0185703675303559,-0.1186149208247986,0.0390019476124141,-0.0236827595061379,-22.2,0.028770575863783,-12.5,0.0263912720800574,0.0336640521582047,0.028770575863783,0.0258182346027657,0.0090498355199173,-0.0179699354849409,-0.0138382346651857,-0.0256381035964388,0.0301539564048951,0.0251414719097873,0.0427151591039223,0.0047080070034279,0.0725501459511086,0.0336579992333252,-0.0177046270740524,-22.7,0.0365362681788088,-11.5,0.0274333525205943,0.0345314585887646,0.0365362681788088,0.023239606583405,-0.0112813444640398,-0.0295059402026431,-0.0320797356102282,-0.0370305221451161,0.0278813000342239,0.0230317352948459,0.0442436418137948,0.0119245669395997,0.094671051609378,0.0332652552318197,-0.0174596217290865,-27.4,0.0388845105583879,-12.8,0.0269495939635842,0.0401373791064507,0.0388845105583879
2006-10-01,0.0366875813543874,0.0127593437537605,-0.0044823024394995,-0.016713480973741,0.0772776152315,0.0223800579009703,0.0315783530439803,0.0440765804140719,0.0312629618014863,0.0830943790005367,0.0310040207044899,-0.0296756801114739,-24.3,0.0247707656430113,-9.9,0.0296773579664995,0.0327073941605373,0.0247707656430113,0.0217674944784533,0.0183053260983632,-0.0269558099885287,0.0110411216276071,-0.0633590645535839,0.0169443019940738,0.0261518406111429,0.0338012337112667,0.0185703675303559,-0.1186149208247986,0.0390019476124141,-0.0236827595061379,-22.2,0.028770575863783,-12.5,0.0263912720800574,0.0336640521582047,0.028770575863783,0.0258182346027657,0.0090498355199173,-0.0179699354849409,-0.0138382346651857,-0.0256381035964388,0.0301539564048951,0.0251414719097873,0.0427151591039223,0.0047080070034279,0.0725501459511086,0.0336579992333252,-0.0177046270740524,-22.7,0.0365362681788088,-11.5,0.0274333525205943,0.0345314585887646,0.0365362681788088
2006-11-01,0.0372203475874783,-0.0015748034750666,-0.0176060885750493,-0.0521578299593992,0.0228066385902838,0.0319786319065915,0.0351453924330913,0.0300678608288995,0.0279903031380532,0.0383505987305081,0.0323283685390549,-0.0351677420793112,-34.1,0.0257286902298039,-9.4,0.0278276642725963,0.0339942832522606,0.0257286902298039,0.0366875813543874,0.0127593437537605,-0.0044823024394995,-0.016713480973741,0.0772776152315,0.0223800579009703,0.0315783530439803,0.0440765804140719,0.0312629618014863,0.0830943790005367,0.0310040207044899,-0.0296756801114739,-24.3,0.0247707656430113,-9.9,0.0296773579664995,0.0327073941605373,0.0247707656430113,0.0217674944784533,0.0183053260983632,-0.0269558099885287,0.0110411216276071,-0.0633590645535839,0.0169443019940738,0.0261518406111429,0.0338012337112667,0.0185703675303559,-0.1186149208247986,0.0390019476124141,-0.0236827595061379,-22.2,0.028770575863783,-12.5,0.0263912720800574,0.0336640521582047,0.028770575863783
2006-12-01,0.0336992271159104,0.0442410218163047,0.0596527519704874,0.0031923410989733,-0.0383046438615686,0.0412318314122455,0.039834927074172,0.0520538415835671,0.031196888073409,-0.1172402070440714,0.0332625403396384,-0.0388161609052559,-30.6,0.0263109418742093,-10.4,0.0299127989264791,0.0350238798764763,0.0263109418742093,0.0372203475874783,-0.0015748034750666,-0.0176060885750493,-0.0521578299593992,0.0228066385902838,0.0319786319065915,0.0351453924330913,0.0300678608288995,0.0279903031380532,0.0383505987305081,0.0323283685390549,-0.0351677420793112,-34.1,0.0257286902298039,-9.4,0.0278276642725963,0.0339942832522606,0.0257286902298039,0.0366875813543874,0.0127593437537605,-0.0044823024394995,-0.016713480973741,0.0772776152315,0.0223800579009703,0.0315783530439803,0.0440765804140719,0.0312629618014863,0.0830943790005367,0.0310040207044899,-0.0296756801114739,-24.3,0.0247707656430113,-9.9,0.0296773579664995,0.0327073941605373,0.0247707656430113
2007-01-01,0.0101943841545555,0.0230626523893562,0.0499657896722167,-0.0163268932874292,0.0262205394525931,0.0247154869754844,0.0252759372490949,0.0373721704072487,0.0108756112928567,0.0046733934979652,0.0343418543837472,-0.0418466179371908,-37.7,0.0236349808044735,-12.3,0.028068628695939,0.0360772552977035,0.0236349808044735,0.0336992271159104,0.0442410218163047,0.0596527519704874,0.0031923410989733,-0.0383046438615686,0.0412318314122455,0.039834927074172,0.0520538415835671,0.031196888073409,-0.1172402070440714,0.0332625403396384,-0.0388161609052559,-30.6,0.0263109418742093,-10.4,0.0299127989264791,0.0350238798764763,0.0263109418742093,0.0372203475874783,-0.0015748034750666,-0.0176060885750493,-0.0521578299593992,0.0228066385902838,0.0319786319065915,0.0351453924330913,0.0300678608288995,0.0279903031380532,0.0383505987305081,0.0323283685390549,-0.0351677420793112,-34.1,0.0257286902298039,-9.4,0.0278276642725963,0.0339942832522606,0.0257286902298039
2007-02-01,0.019005965861047,0.0150617195294104,0.0234456185746809,-0.0293788497328728,-0.0452350038448479,0.0269666204909446,0.0335399012171553,0.0434148782108998,0.0112335762330717,-0.0432179776378358,0.0340972691295,-0.0443002572903674,-34.3,0.0238332066602726,-11.8,0.0288442996367166,0.0359589282142955,0.0238332066602726,0.0101943841545555,0.0230626523893562,0.0499657896722167,-0.0163268932874292,0.0262205394525931,0.0247154869754844,0.0252759372490949,0.0373721704072487,0.0108756112928567,0.0046733934979652,0.0343418543837472,-0.0418466179371908,-37.7,0.0236349808044735,-12.3,0.028068628695939,0.0360772552977035,0.0236349808044735,0.0336992271159104,0.0442410218163047,0.0596527519704874,0.0031923410989733,-0.0383046438615686,0.0412318314122455,0.039834927074172,0.0520538415835671,0.031196888073409,-0.1172402070440714,0.0332625403396384,-0.0388161609052559,-30.6,0.0263109418742093,-10.4,0.0299127989264791,0.0350238798764763,0.0263109418742093
2007-03-01,0.040374657370318,0.0235859990058795,0.0426731411260758,-0.0722625687666589,-0.0023057051956101,0.0517840523384567,0.0529117427524896,0.0555675244702689,0.0454737479995683,-0.0868334801371855,0.038732103894608,-0.0423444449371972,-35.4,0.0243402907999028,-11.1,0.0339521128768396,0.0362655940225948,0.0243402907999028,0.019005965861047,0.0150617195294104,0.0234456185746809,-0.0293788497328728,-0.0452350038448479,0.0269666204909446,0.0335399012171553,0.0434148782108998,0.0112335762330717,-0.0432179776378358,0.0340972691295,-0.0443002572903674,-34.3,0.0238332066602726,-11.8,0.0288442996367166,0.0359589282142955,0.0238332066602726,0.0101943841545555,0.0230626523893562,0.0499657896722167,-0.0163268932874292,0.0262205394525931,0.0247154869754844,0.0252759372490949,0.0373721704072487,0.0108756112928567,0.0046733934979652,0.0343418543837472,-0.0418466179371908,-37.7,0.0236349808044735,-12.3,0.028068628695939,0.0360772552977035,0.0236349808044735
