@date,"@dlog(exp1,0,12)","@dlog(exp2,0,12)","@dlog(exp3,0,12)","@dlog(exp4,0,12)","@dlog(exp5,0,12)","@dlog(exp6,0,12)","@dlog(exp7,0,12)","@dlog(exp8,0,12)","@dlog(exp9,0,12)","@dlog(exp10,0,12)","@dlog(exp11,0,12)","@dlog(exp12,0,12)","@dlog(exp1(-1),0,12)","@dlog(exp2(-1),0,12)","@dlog(exp3(-1),0,12)","@dlog(exp4(-1),0,12)","@dlog(exp5(-1),0,12)","@dlog(exp6(-1),0,12)","@dlog(exp7(-1),0,12)","@dlog(exp8(-1),0,12)","@dlog(exp9(-1),0,12)","@dlog(exp10(-1),0,12)","@dlog(exp11(-1),0,12)","@dlog(exp12(-1),0,12)","@dlog(exp1(-2),0,12)","@dlog(exp2(-2),0,12)","@dlog(exp3(-2),0,12)","@dlog(exp4(-2),0,12)","@dlog(exp5(-2),0,12)","@dlog(exp6(-2),0,12)","@dlog(exp7(-2),0,12)","@dlog(exp8(-2),0,12)","@dlog(exp9(-2),0,12)","@dlog(exp10(-2),0,12)","@dlog(exp11(-2),0,12)","@dlog(exp12(-2),0,12)"
2013-08-01,0.0371974115276607,0.0364594864594511,0.0173440408079859,0.035676517586328,-0.0792202263904773,0.0242499820743891,0.049944762074686,0.0729251688424152,0.1761447726901952,0.0507537525113495,0.018294958533918,0.0281527789770246,0.0132099970895609,0.0154841220607178,0.0255145749133838,0.0118845403959557,-0.0222666840917202,0.0116967153523646,0.0228266644580088,0.0234483754180292,0.1315874617233987,0.0319927115002798,-0.0008027983078271,0.0115570297907536,0.0997842162582927,0.0419968458494697,0.0552132860246903,0.0289057830705381,-0.0449170686372113,0.0002461564818467,0.0495093791559018,0.0492964379774711,0.1285899375846408,0.0537765509263099,0.0719353486326461,0.0474022770482642
2013-09-01,0.0795244936150538,0.0279345096226872,0.0158789548702298,0.0245685516589215,-0.0516979071646446,0.0131621415573732,0.0507192107230025,0.0465983233952318,0.1143617402354113,0.056108378629796,0.1075939866915582,0.0246390302917793,0.0371974115276607,0.0364594864594511,0.0173440408079859,0.035676517586328,-0.0792202263904773,0.0242499820743891,0.049944762074686,0.0729251688424152,0.1761447726901952,0.0507537525113495,0.018294958533918,0.0281527789770246,0.0132099970895609,0.0154841220607178,0.0255145749133838,0.0118845403959557,-0.0222666840917202,0.0116967153523646,0.0228266644580088,0.0234483754180292,0.1315874617233987,0.0319927115002798,-0.0008027983078271,0.0115570297907536
2013-10-01,0.0181880510832783,0.0640834363016651,0.0491436016082822,0.0420452211157442,0.0462092134908829,0.0171694056235853,0.0763400514156131,0.0648375025189125,0.2087455374672888,0.0508227148894171,0.0116924994821765,0.0250457524616853,0.0795244936150538,0.0279345096226872,0.0158789548702298,0.0245685516589215,-0.0516979071646446,0.0131621415573732,0.0507192107230025,0.0465983233952318,0.1143617402354113,0.056108378629796,0.1075939866915582,0.0246390302917793,0.0371974115276607,0.0364594864594511,0.0173440408079859,0.035676517586328,-0.0792202263904773,0.0242499820743891,0.049944762074686,0.0729251688424152,0.1761447726901952,0.0507537525113495,0.018294958533918,0.0281527789770246
2013-11-01,-0.0220769898770001,0.0598509292809001,0.0230457718393282,0.0714259292127401,0.0605312339883994,0.0644369247372047,0.0933319397922183,0.0984321836293595,0.1674822355929075,0.0575777425738612,-0.0089465256721616,0.0155216498023484,0.0181880510832783,0.0640834363016651,0.0491436016082822,0.0420452211157442,0.0462092134908829,0.0171694056235853,0.0763400514156131,0.0648375025189125,0.2087455374672888,0.0508227148894171,0.0116924994821765,0.0250457524616853,0.0795244936150538,0.0279345096226872,0.0158789548702298,0.0245685516589215,-0.0516979071646446,0.0131621415573732,0.0507192107230025,0.0465983233952318,0.1143617402354113,0.056108378629796,0.1075939866915582,0.0246390302917793
2013-12-01,0.0290539043941748,0.1083299171904688,0.0165609292879018,0.0773105273588452,0.0453585609249245,0.0001847699199828,0.103319996722611,0.1593939303458507,0.2023546144376426,0.0753458852985522,0.053537655772061,0.0273254026232248,-0.0220769898770001,0.0598509292809001,0.0230457718393282,0.0714259292127401,0.0605312339883994,0.0644369247372047,0.0933319397922183,0.0984321836293595,0.1674822355929075,0.0575777425738612,-0.0089465256721616,0.0155216498023484,0.0181880510832783,0.0640834363016651,0.0491436016082822,0.0420452211157442,0.0462092134908829,0.0171694056235853,0.0763400514156131,0.0648375025189125,0.2087455374672888,0.0508227148894171,0.0116924994821765,0.0250457524616853
2014-01-01,0.0304432074017846,0.1075060310451814,0.0634436132522964,0.0829231259349221,0.068274085554183,0.0641440671780557,0.0651328785190745,0.1162707813829415,0.0961605716432174,0.0771991603872512,0.0525239736563456,0.0361468512494402,0.0290539043941748,0.1083299171904688,0.0165609292879018,0.0773105273588452,0.0453585609249245,0.0001847699199828,0.103319996722611,0.1593939303458507,0.2023546144376426,0.0753458852985522,0.053537655772061,0.0273254026232248,-0.0220769898770001,0.0598509292809001,0.0230457718393282,0.0714259292127401,0.0605312339883994,0.0644369247372047,0.0933319397922183,0.0984321836293595,0.1674822355929075,0.0575777425738612,-0.0089465256721616,0.0155216498023484
2014-02-01,0.0482925479040012,0.0727214029751266,0.0326159293420751,0.0719700498364854,0.0921532957015198,0.0648322500279192,0.0777006726245446,0.1060702634186547,0.0763040964012162,0.0632402393349291,0.0508632434071039,0.0427251942795292,0.0304432074017846,0.1075060310451814,0.0634436132522964,0.0829231259349221,0.068274085554183,0.0641440671780557,0.0651328785190745,0.1162707813829415,0.0961605716432174,0.0771991603872512,0.0525239736563456,0.0361468512494402,0.0290539043941748,0.1083299171904688,0.0165609292879018,0.0773105273588452,0.0453585609249245,0.0001847699199828,0.103319996722611,0.1593939303458507,0.2023546144376426,0.0753458852985522,0.053537655772061,0.0273254026232248
2014-03-01,0.016811762156621,0.0571089287055546,0.0465834368489623,0.0147372039952458,0.137967754782192,0.0068161974868985,-0.0250106511341101,0.0057832446395202,0.0632601625748758,0.0294335495426372,-0.0110380226797737,0.0174249240577504,0.0482925479040012,0.0727214029751266,0.0326159293420751,0.0719700498364854,0.0921532957015198,0.0648322500279192,0.0777006726245446,0.1060702634186547,0.0763040964012162,0.0632402393349291,0.0508632434071039,0.0427251942795292,0.0304432074017846,0.1075060310451814,0.0634436132522964,0.0829231259349221,0.068274085554183,0.0641440671780557,0.0651328785190745,0.1162707813829415,0.0961605716432174,0.0771991603872512,0.0525239736563456,0.0361468512494402
2014-04-01,-0.037622934254383,0.1046889382742328,0.1256445346996226,0.1118378322926307,-7.600936856277939e-05,0.0615974034647734,0.0991208914901413,0.1243392742417519,0.1694120202050708,0.0659844246010941,-0.0214692633564368,0.0358904005065241,0.016811762156621,0.0571089287055546,0.0465834368489623,0.0147372039952458,0.137967754782192,0.0068161974868985,-0.0250106511341101,0.0057832446395202,0.0632601625748758,0.0294335495426372,-0.0110380226797737,0.0174249240577504,0.0482925479040012,0.0727214029751266,0.0326159293420751,0.0719700498364854,0.0921532957015198,0.0648322500279192,0.0777006726245446,0.1060702634186547,0.0763040964012162,0.0632402393349291,0.0508632434071039,0.0427251942795292
2014-05-01,-0.012734305165889,-0.0017090104942045,0.0020204608913765,0.0553078078337243,0.1124666478237994,0.0421170635710783,0.0152824240974336,0.0545828777374453,0.0335226920386446,0.0546547507109771,-0.025682738980322,0.0582317358299118,-0.037622934254383,0.1046889382742328,0.1256445346996226,0.1118378322926307,-7.600936856277939e-05,0.0615974034647734,0.0991208914901413,0.1243392742417519,0.1694120202050708,0.0659844246010941,-0.0214692633564368,0.0358904005065241,0.016811762156621,0.0571089287055546,0.0465834368489623,0.0147372039952458,0.137967754782192,0.0068161974868985,-0.0250106511341101,0.0057832446395202,0.0632601625748758,0.0294335495426372,-0.0110380226797737,0.0174249240577504
2014-06-01,-0.0119246828093153,0.0114200611347836,0.0402783785273435,0.0499567670402338,0.0490624765821987,0.0481336121854685,0.0339183898095285,0.0437297629562287,0.0372391571335874,0.0478200258036984,0.0146371833516809,0.0256071734565557,-0.012734305165889,-0.0017090104942045,0.0020204608913765,0.0553078078337243,0.1124666478237994,0.0421170635710783,0.0152824240974336,0.0545828777374453,0.0335226920386446,0.0546547507109771,-0.025682738980322,0.0582317358299118,-0.037622934254383,0.1046889382742328,0.1256445346996226,0.1118378322926307,-7.600936856277939e-05,0.0615974034647734,0.0991208914901413,0.1243392742417519,0.1694120202050708,0.0659844246010941,-0.0214692633564368,0.0358904005065241
2014-07-01,0.0832400210428438,-0.0189703259792981,-0.0161816974843542,0.0403028594622973,0.105840038420192,0.0418551117561509,0.0204881644826926,0.0531615481314613,0.0409593770051515,0.0698743400836487,0.1009925024695945,0.0725280481099757,-0.0119246828093153,0.0114200611347836,0.0402783785273435,0.0499567670402338,0.0490624765821987,0.0481336121854685,0.0339183898095285,0.0437297629562287,0.0372391571335874,0.0478200258036984,0.0146371833516809,0.0256071734565557,-0.012734305165889,-0.0017090104942045,0.0020204608913765,0.0553078078337243,0.1124666478237994,0.0421170635710783,0.0152824240974336,0.0545828777374453,0.0335226920386446,0.0546547507109771,-0.025682738980322,0.0582317358299118
2014-08-01,-0.0520786221939886,0.0196357123703716,0.0297234385741873,0.0630057395216532,0.0872720143945198,0.0470562263879994,0.0392206866129996,0.0856270859677401,0.0840647468456143,0.0674375726754243,-0.0105690678335932,0.0637401476107433,0.0832400210428438,-0.0189703259792981,-0.0161816974843542,0.0403028594622973,0.105840038420192,0.0418551117561509,0.0204881644826926,0.0531615481314613,0.0409593770051515,0.0698743400836487,0.1009925024695945,0.0725280481099757,-0.0119246828093153,0.0114200611347836,0.0402783785273435,0.0499567670402338,0.0490624765821987,0.0481336121854685,0.0339183898095285,0.0437297629562287,0.0372391571335874,0.0478200258036984,0.0146371833516809,0.0256071734565557
2014-09-01,0.0915209670872592,0.0259414064797294,0.0114120164528799,0.0496496051770716,0.1219104404547657,0.0335057460828949,0.030819649508043,0.0757566124855149,0.0635627645068534,0.0607441095647081,0.0772977803556536,0.073984873084858,-0.0520786221939886,0.0196357123703716,0.0297234385741873,0.0630057395216532,0.0872720143945198,0.0470562263879994,0.0392206866129996,0.0856270859677401,0.0840647468456143,0.0674375726754243,-0.0105690678335932,0.0637401476107433,0.0832400210428438,-0.0189703259792981,-0.0161816974843542,0.0403028594622973,0.105840038420192,0.0418551117561509,0.0204881644826926,0.0531615481314613,0.0409593770051515,0.0698743400836487,0.1009925024695945,0.0725280481099757
2014-10-01,0.0402812628591355,0.0370914382922187,0.0243243529059036,0.0477506404493475,0.0632452349480256,0.0313406072623223,0.0480285837570608,0.0748291405571848,0.0442032844977458,0.0736055918350331,0.0635203868215228,0.0647538253099266,0.0915209670872592,0.0259414064797294,0.0114120164528799,0.0496496051770716,0.1219104404547657,0.0335057460828949,0.030819649508043,0.0757566124855149,0.0635627645068534,0.0607441095647081,0.0772977803556536,0.073984873084858,-0.0520786221939886,0.0196357123703716,0.0297234385741873,0.0630057395216532,0.0872720143945198,0.0470562263879994,0.0392206866129996,0.0856270859677401,0.0840647468456143,0.0674375726754243,-0.0105690678335932,0.0637401476107433
2014-11-01,0.0318796415155411,0.0186710028782055,-0.0197700994885767,0.0382574273151146,0.0622229308403614,0.0073523866731513,0.0325645388879962,0.0271286674383084,0.0157667499714406,0.071243497816118,0.0442740644443375,0.1044599954454801,0.0402812628591355,0.0370914382922187,0.0243243529059036,0.0477506404493475,0.0632452349480256,0.0313406072623223,0.0480285837570608,0.0748291405571848,0.0442032844977458,0.0736055918350331,0.0635203868215228,0.0647538253099266,0.0915209670872592,0.0259414064797294,0.0114120164528799,0.0496496051770716,0.1219104404547657,0.0335057460828949,0.030819649508043,0.0757566124855149,0.0635627645068534,0.0607441095647081,0.0772977803556536,0.073984873084858
2014-12-01,0.0552102067531272,0.0107689671596187,-0.0252099090353468,0.0507850283413695,0.0328565376616722,0.0175808214055077,0.0310137252882061,0.0533511754183493,0.0234752564213671,0.0552949778780824,0.069644663716037,0.0872923934334339,0.0318796415155411,0.0186710028782055,-0.0197700994885767,0.0382574273151146,0.0622229308403614,0.0073523866731513,0.0325645388879962,0.0271286674383084,0.0157667499714406,0.071243497816118,0.0442740644443375,0.1044599954454801,0.0402812628591355,0.0370914382922187,0.0243243529059036,0.0477506404493475,0.0632452349480256,0.0313406072623223,0.0480285837570608,0.0748291405571848,0.0442032844977458,0.0736055918350331,0.0635203868215228,0.0647538253099266
2015-01-01,-0.0297198043030562,0.0119583488846668,-0.0482685453161373,0.0670813848315994,-0.0193974134117276,0.0262740614065233,0.0257648659051739,0.0356566772966395,0.0906899155274345,0.0441349060657145,-0.031005269542959,0.052391998685799,0.0552102067531272,0.0107689671596187,-0.0252099090353468,0.0507850283413695,0.0328565376616722,0.0175808214055077,0.0310137252882061,0.0533511754183493,0.0234752564213671,0.0552949778780824,0.069644663716037,0.0872923934334339,0.0318796415155411,0.0186710028782055,-0.0197700994885767,0.0382574273151146,0.0622229308403614,0.0073523866731513,0.0325645388879962,0.0271286674383084,0.0157667499714406,0.071243497816118,0.0442740644443375,0.1044599954454801
2015-02-01,0.0272829291276686,0.0320051461517927,-0.0129044202347206,0.0649774979610988,0.0705237202388087,0.0250148986757743,0.0198035482953766,0.0521179544890024,0.0616367910676043,0.0587452608932057,0.0151305569969828,0.0758891527996343,-0.0297198043030562,0.0119583488846668,-0.0482685453161373,0.0670813848315994,-0.0193974134117276,0.0262740614065233,0.0257648659051739,0.0356566772966395,0.0906899155274345,0.0441349060657145,-0.031005269542959,0.052391998685799,0.0552102067531272,0.0107689671596187,-0.0252099090353468,0.0507850283413695,0.0328565376616722,0.0175808214055077,0.0310137252882061,0.0533511754183493,0.0234752564213671,0.0552949778780824,0.069644663716037,0.0872923934334339
2015-03-01,0.1180701042652252,-0.0192512731289635,-0.0439394963665709,0.069925595863852,0.0202815026730149,0.0388437763706726,0.0159717293688164,0.0637256910287486,0.0517077890608526,0.0876527090024516,0.1116549026841013,0.1386402755915359,0.0272829291276686,0.0320051461517927,-0.0129044202347206,0.0649774979610988,0.0705237202388087,0.0250148986757743,0.0198035482953766,0.0521179544890024,0.0616367910676043,0.0587452608932057,0.0151305569969828,0.0758891527996343,-0.0297198043030562,0.0119583488846668,-0.0482685453161373,0.0670813848315994,-0.0193974134117276,0.0262740614065233,0.0257648659051739,0.0356566772966395,0.0906899155274345,0.0441349060657145,-0.031005269542959,0.052391998685799
2015-04-01,0.0627888515208603,0.0235023043022764,-0.0115750657082926,0.027860018450486,0.0478383082489362,0.0130433996602388,-0.0006001380725848,0.0264471699288222,0.0733870509905418,0.0615139949410448,0.0635251608040121,0.089273036205232,0.1180701042652252,-0.0192512731289635,-0.0439394963665709,0.069925595863852,0.0202815026730149,0.0388437763706726,0.0159717293688164,0.0637256910287486,0.0517077890608526,0.0876527090024516,0.1116549026841013,0.1386402755915359,0.0272829291276686,0.0320051461517927,-0.0129044202347206,0.0649774979610988,0.0705237202388087,0.0250148986757743,0.0198035482953766,0.0521179544890024,0.0616367910676043,0.0587452608932057,0.0151305569969828,0.0758891527996343
2015-05-01,0.0191518370360768,0.0589994567554477,0.0174450966226586,0.0653800009392266,0.0385103795021546,0.0225799671540123,0.0509779664921623,0.0665365237839346,0.1059290554213348,0.0677588457435982,-0.0094498068290427,0.0886193243084276,0.0627888515208603,0.0235023043022764,-0.0115750657082926,0.027860018450486,0.0478383082489362,0.0130433996602388,-0.0006001380725848,0.0264471699288222,0.0733870509905418,0.0615139949410448,0.0635251608040121,0.089273036205232,0.1180701042652252,-0.0192512731289635,-0.0439394963665709,0.069925595863852,0.0202815026730149,0.0388437763706726,0.0159717293688164,0.0637256910287486,0.0517077890608526,0.0876527090024516,0.1116549026841013,0.1386402755915359
2015-06-01,0.0750326152677303,-0.0081697908210678,-0.0035687589014141,0.0348702868203574,0.0981894187147673,0.013140420778857,0.0128174762476938,0.0149871297217369,0.0378039331288135,0.0695002402696562,0.0600783838232032,0.1030398131558412,0.0191518370360768,0.0589994567554477,0.0174450966226586,0.0653800009392266,0.0385103795021546,0.0225799671540123,0.0509779664921623,0.0665365237839346,0.1059290554213348,0.0677588457435982,-0.0094498068290427,0.0886193243084276,0.0627888515208603,0.0235023043022764,-0.0115750657082926,0.027860018450486,0.0478383082489362,0.0130433996602388,-0.0006001380725848,0.0264471699288222,0.0733870509905418,0.0615139949410448,0.0635251608040121,0.089273036205232
2015-07-01,0.0853455644340996,0.0505631800552279,0.043532411879184,0.0518129293157549,0.058121233733587,0.0207290488122424,0.0422930931465881,0.0629747991239408,0.077218415630412,0.068532003475104,0.0660680771051644,0.0879630688097075,0.0750326152677303,-0.0081697908210678,-0.0035687589014141,0.0348702868203574,0.0981894187147673,0.013140420778857,0.0128174762476938,0.0149871297217369,0.0378039331288135,0.0695002402696562,0.0600783838232032,0.1030398131558412,0.0191518370360768,0.0589994567554477,0.0174450966226586,0.0653800009392266,0.0385103795021546,0.0225799671540123,0.0509779664921623,0.0665365237839346,0.1059290554213348,0.0677588457435982,-0.0094498068290427,0.0886193243084276
2015-08-01,-0.0083254907871577,0.0368644951692278,0.0127816044964266,0.0384809322810983,0.0928078684801434,0.0203255406024673,0.010346760133828,0.0202927031655857,0.0333817614248861,0.0454005348441262,-0.0141639763959275,0.0591261277051264,0.0853455644340996,0.0505631800552279,0.043532411879184,0.0518129293157549,0.058121233733587,0.0207290488122424,0.0422930931465881,0.0629747991239408,0.077218415630412,0.068532003475104,0.0660680771051644,0.0879630688097075,0.0750326152677303,-0.0081697908210678,-0.0035687589014141,0.0348702868203574,0.0981894187147673,0.013140420778857,0.0128174762476938,0.0149871297217369,0.0378039331288135,0.0695002402696562,0.0600783838232032,0.1030398131558412
2015-09-01,0.0105628043740715,0.0288685744262515,0.0230728034563654,0.0432892599808774,0.0775689052788415,0.0186696239368799,-0.0005000446741441,0.0246926125593063,0.0412830264906229,0.0540053401042239,0.0357952766140492,0.0913806656320623,-0.0083254907871577,0.0368644951692278,0.0127816044964266,0.0384809322810983,0.0928078684801434,0.0203255406024673,0.010346760133828,0.0202927031655857,0.0333817614248861,0.0454005348441262,-0.0141639763959275,0.0591261277051264,0.0853455644340996,0.0505631800552279,0.043532411879184,0.0518129293157549,0.058121233733587,0.0207290488122424,0.0422930931465881,0.0629747991239408,0.077218415630412,0.068532003475104,0.0660680771051644,0.0879630688097075
2015-10-01,-0.0079863667008943,0.0757759109747571,0.0719495557368805,0.0831676818743503,0.0574274894152058,0.0408896862610586,0.0508822888753677,0.0851680124222848,0.0397287530142804,0.059062049439591,-0.0149518840310598,0.0883318351682245,0.0105628043740715,0.0288685744262515,0.0230728034563654,0.0432892599808774,0.0775689052788415,0.0186696239368799,-0.0005000446741441,0.0246926125593063,0.0412830264906229,0.0540053401042239,0.0357952766140492,0.0913806656320623,-0.0083254907871577,0.0368644951692278,0.0127816044964266,0.0384809322810983,0.0928078684801434,0.0203255406024673,0.010346760133828,0.0202927031655857,0.0333817614248861,0.0454005348441262,-0.0141639763959275,0.0591261277051264
2015-11-01,0.0823073680152006,0.1000657574881387,0.0567710075072795,0.0966843538318666,0.0648460248538924,0.0481871136257634,0.0427717257263324,0.1003881741092485,0.1150343148133643,0.0612477083720204,0.081215565522978,0.0451923002230776,-0.0079863667008943,0.0757759109747571,0.0719495557368805,0.0831676818743503,0.0574274894152058,0.0408896862610586,0.0508822888753677,0.0851680124222848,0.0397287530142804,0.059062049439591,-0.0149518840310598,0.0883318351682245,0.0105628043740715,0.0288685744262515,0.0230728034563654,0.0432892599808774,0.0775689052788415,0.0186696239368799,-0.0005000446741441,0.0246926125593063,0.0412830264906229,0.0540053401042239,0.0357952766140492,0.0913806656320623
2015-12-01,0.040653319394817,0.085435950541937,0.0431387726265946,0.0874011385773752,0.0671795729765882,0.0654251648370802,0.0370073651168123,0.076220025988837,0.0901476467123227,0.071323747036474,0.0459710178156989,0.0708637240774265,0.0823073680152006,0.1000657574881387,0.0567710075072795,0.0966843538318666,0.0648460248538924,0.0481871136257634,0.0427717257263324,0.1003881741092485,0.1150343148133643,0.0612477083720204,0.081215565522978,0.0451923002230776,-0.0079863667008943,0.0757759109747571,0.0719495557368805,0.0831676818743503,0.0574274894152058,0.0408896862610586,0.0508822888753677,0.0851680124222848,0.0397287530142804,0.059062049439591,-0.0149518840310598,0.0883318351682245
2016-01-01,0.0206123985174357,0.0783818823168402,0.0570362176378882,0.1101176164921273,0.1316688313402423,0.0624913277420127,0.0391242610420548,0.1047203108230316,0.0355601753252887,0.0643879189232148,0.0311281305083888,0.0730185042569813,0.040653319394817,0.085435950541937,0.0431387726265946,0.0874011385773752,0.0671795729765882,0.0654251648370802,0.0370073651168123,0.076220025988837,0.0901476467123227,0.071323747036474,0.0459710178156989,0.0708637240774265,0.0823073680152006,0.1000657574881387,0.0567710075072795,0.0966843538318666,0.0648460248538924,0.0481871136257634,0.0427717257263324,0.1003881741092485,0.1150343148133643,0.0612477083720204,0.081215565522978,0.0451923002230776
2016-02-01,0.0263768381759952,0.1270426732820801,0.1021524620119294,0.1512622979898754,0.1328790321785771,0.1107167148583503,0.0646635516958742,0.1305895696143046,0.0771462092687684,0.0594281962804572,0.0476718145079573,0.0479416189235504,0.0206123985174357,0.0783818823168402,0.0570362176378882,0.1101176164921273,0.1316688313402423,0.0624913277420127,0.0391242610420548,0.1047203108230316,0.0355601753252887,0.0643879189232148,0.0311281305083888,0.0730185042569813,0.040653319394817,0.085435950541937,0.0431387726265946,0.0874011385773752,0.0671795729765882,0.0654251648370802,0.0370073651168123,0.076220025988837,0.0901476467123227,0.071323747036474,0.0459710178156989,0.0708637240774265
2016-03-01,-0.0339588555335268,0.1470254232369665,0.1036949878752615,0.1390674708964567,0.0645585072728582,0.1085149669739831,0.1003890964076656,0.1436673497437972,0.0901148894577001,0.0506561699615373,-0.0018352972421951,0.0043795182424037,0.0263768381759952,0.1270426732820801,0.1021524620119294,0.1512622979898754,0.1328790321785771,0.1107167148583503,0.0646635516958742,0.1305895696143046,0.0771462092687684,0.0594281962804572,0.0476718145079573,0.0479416189235504,0.0206123985174357,0.0783818823168402,0.0570362176378882,0.1101176164921273,0.1316688313402423,0.0624913277420127,0.0391242610420548,0.1047203108230316,0.0355601753252887,0.0643879189232148,0.0311281305083888,0.0730185042569813
