_date_	fexp1f	fexp2f	fexp3f	fexp4f	fexp5f	fexp1f_h	fexp2f_h	fexp3f_h	fexp4f_h	fexp5f_h
2019-07-01	-0.20850704559913372	-0.035924931437191068	0.15296986193436202	-0.073042849786522272	-0.070316793950259888	-0.2501897857266064	-0.1370262277289826	-0.019448190914382376	-0.10596055718140642	-0.082401038046972256
2019-08-01	-0.4064273251536576	-0.42264998103804576	-0.3368879488995868	-0.3995750812985788	0.030543971866145476	-0.32742550559933964	-0.17680699379479908	-0.14028952048173518	-0.0465911318476562	-0.02223152537955046
2019-09-01	-0.3074104279274938	-0.051322756785432352	-0.18027884344268516	0.6156186194943176	0.048501613194937136	-0.29725542014082316	-0.066918862304266104	-0.218012732188627	0.15607504619527906	0.081507244900263888
2019-10-01	-0.32228923834609428	0.063433328005086592	-0.3595829262205348	0.030713235161205936	0.15527564045169834	-0.13422361866367294	0.0889024193036752	-0.26916779427478304	0.18137421428261544	0.25397890151399332
2019-11-01	-0.13594975563733976	-0.14093676875441208	0.040105811732684224	-0.082796059443469648	0.55186068845075432	0.17697080173282458	0.20251720910891756	-0.27257078623398668	0.16818618304860764	0.48734144147783368
2019-12-01	-0.18475508556480484	0.056684512128331696	-0.22911339806653668	0.362383975498646	0.64666209774817344	0.46356312426696144	0.160316773892765	-0.29745291950577308	0.1047297840061009	0.67504960074568584
2020-01-01	-0.16678151037578546	-0.062429137872133752	-0.26900922113795588	0.018897926643055808	0.89641021062067952	0.2398680747868654	-0.49476159742680792	-0.10036880756300664	-0.2717583938241368	0.77507736224437136
2020-02-01	-0.15166273914770718	-0.10195751953397094	-0.10265158672249638	0.010131383591376114	0.62507830905741624	-1.6281178306911022	-2.32341287769626	0.63046645756068464	-0.96638756992879232	0.71701120590319992
2020-03-01	-2.9484188979066328	-3.4046526139247996	0.46567389495259248	-2.6453487732222736	0.39708366119991664	-6.6810476613132304	-5.453999580207376	2.0381973702567232	-1.6936106433273602	0.55177046002778976
2020-04-01	-14.106442549404688	-13.163200994177072	5.8768376703869152	-5.0711404659807592	0.83205643784520288	-14.983119394682416	-7.7934288600896528	3.5328503806333508	-1.191361559519166	0.23834155607797548
2020-05-01	-26.252575674505056	-9.9828604157146096	5.4309674497996904	4.686236545068628	-0.42982692599532248	-22.865902244994952	-5.199260906190012	2.951928463494678	0.85068760610154992	-0.41897587331428096
2020-06-01	-30.775286344231888	5.0870700349305328	-1.0255303405069168	2.9240199524744848	-1.5768696646509434	-25.784288581169424	1.1011719585572112	0.47692188339838056	0.8630858716789536	-1.0221673137497902
2020-07-01	-22.549027412628856	9.6493395093705616	-3.2095663733607932	-2.3030616271917808	-1.1075603415934108	-22.579844201634512	5.0969379016930744	-1.231640108792852	-0.88806880567571072	-1.1840693035104044
2020-08-01	-14.297350668610582	4.898037098598952	-1.3726223171091738	-4.3123645774141256	-1.0745792619792524	-17.085132667881372	4.76300316713196	-1.0156804861216268	-2.0757443880556684	-1.0722207317791294
2020-09-01	-11.07567252239048	0.1302494105099106	1.1092212891459658	-0.96187311587345408	-0.92936945480691472	-13.101900752395512	2.6267356064657408	0.3049515138015062	-1.7879016590702146	-0.77765152582197888
2020-10-01	-11.572214568073032	0.53113784165795376	1.8475799477976472	-0.5747907499598204	-0.18352154758353256	-11.644113228391658	1.350537002753282	1.5534648223784506	-1.3491215916871032	-0.39375014310508864
2020-11-01	-12.109410844105926	1.6850107574270632	2.6035669320845508	-1.2599565080759624	0.072120712251392048	-11.699506639079506	1.1003229430976196	2.35733814635557	-1.2579566156773254	-0.16562297007953164
2020-12-01	-11.574000196348174	2.3659706413250712	2.2941918501901812	-0.89012941831923104	-0.24858194404692924	-12.183918867350114	1.2226098535064608	2.6381653178984252	-1.238628319084593	-0.12814779767482398
2021-01-01	-11.852029969640106	1.0681158448902346	2.3880502826507664	-2.6388804343200332	-0.16672499347585212	-12.423092001120978	1.6486019743169568	2.563768954901558	-1.017358182351254	-0.078458734489558384
2021-02-01	-12.540224046329094	0.23172076615934652	3.0135949966578484	-0.46691809247521368	0.16221227193800792	-11.132849457307652	3.4528643336848696	1.9579982075512652	0.028131214845703956	0.06587596450556724
2021-03-01	-10.471895117152946	5.5237483562154016	1.5935849889008504	2.6869445843135452	0.23972479761201316	-6.45795262134482	7.12947583033924	0.46898355378305232	0.89859504086051456	0.29902178535356124
2021-04-01	1.0219722500569354	15.619196911421012	-3.1131117266548228	3.4083275649863384	0.2993674434540442	2.0494625323113868	9.9513717954835904	-1.1995477393609902	0.099739156726493984	0.71148052152987248
2021-05-01	14.0811687088507	12.053353292535026	-3.3064412406077536	-6.137185971253332	1.3140852054125704	10.82331753339671	7.5857600861975984	-1.219266969720974	-2.0743810330700104	1.3344569787684024
2021-06-01	19.976414417333272	-2.2848865035216052	1.7105434873144232	-3.7503730652635056	2.387092184410168	15.270043629392446	1.3676736754983712	0.32459057756915628	-2.0211217157828072	1.7870428847272246
2021-07-01	14.083421793323448	-7.333625506945096	2.699642120445792	0.94400908714489712	1.6342619078203046	14.05392324323388	-2.9002612572595604	1.2596153464886754	-0.20064401684902604	1.6679581937085802
2021-08-01	8.0462960342671696	-3.351745582895404	1.1436066251905326	3.3622665749881448	1.2203106988401418	10.545609585797144	-3.0679787117416376	0.79935069076212544	1.1976395888135034	1.1759721596976544
2021-09-01	6.2637122888264016	1.00642089725614	-1.1601466799817186	0.79959898028158176	0.46248169694651928	8.1452544180479232	-1.4187769372988426	-0.40263326192883488	1.1289697302808748	0.47615775079135832
2021-10-01	7.759769481093896	0.25435287914900844	-1.6362504602222646	-0.48086851570629832	-0.37456632082880304	7.7536959494219456	-0.51972105443592072	-1.3485104494741392	0.71321402280382272	-0.22207352577090984
2021-11-01	9.2282234119378416	-0.64619332246575568	-2.1103844048985852	1.0522066175474454	-1.0214361634402098	8.3902302601334128	-0.51267834910263656	-1.7979682278166048	0.74086933163378896	-0.72298621659459072
2021-12-01	9.2630893354845984	-1.4867110128683914	-1.8007951379172218	0.57622967545945448	-0.85937663708711328	9.0802269620684832	-0.76544217366382528	-1.7984339636471754	0.80834998351209456	-0.98333766334301824
2022-01-01	9.5438525359016656	-1.0952886526361856	-1.0543426045636162	1.6166555451292548	-1.037888750878556	9.6870488189177472	-0.77932085384744192	-1.7097512007387756	0.82340759109371792	-1.2583351545251452
2022-02-01	10.097922581692274	0.26959734447622828	-1.9928934294288108	0.4929701700999892	-1.6974595932380908	10.256920967787902	-0.77689155458600752	-1.8941246571343772	0.4616734589809964	-1.6792249523940194
2022-03-01	10.685437400766246	-1.4908485861153808	-1.9179931317234608	-0.95575998945949776	-2.0085999767420292	10.692872262769574	-1.2966992396007864	-2.0583504547017924	0.1920268458118058	-2.1568069155561016
2022-04-01	10.971069410361544	-2.2637348065543484	-2.3517217798631952	0.96105611036019584	-2.85428194535764	10.738933171857762	-1.8307999735508068	-2.0079934876032684	0.51464372134301448	-2.6201155434619228
2022-05-01	10.347557709549792	-1.6857114624804316	-2.0998690076047192	1.0920631352295072	-2.9611170551787972	10.13169930104414	-2.065399167609692	-1.408261327022722	0.78191322006018752	-2.8499783967479412
2022-06-01	9.1597730249327392	-2.5044173627455696	0.074149522271104832	0.69730632623715624	-2.8383892505346628	8.8399024948241664	-2.1196370659546076	-0.26808983640399632	0.79263686546607152	-2.8613894379463348
2022-07-01	6.9008896039881736	-2.166357814594618	1.201110493430988	0.58321108268341096	-2.6713452971962148	7.0481330061989488	-1.732966207633458	0.71197744022706768	0.6557660962327324	-2.7804812880201372
2022-08-01	4.9028501433158992	-0.54185494936142352	1.218314025378463	0.85759392282884816	-2.729865805564052	5.2608516182781768	-1.029619428485113	1.1736363175197304	0.38492181180332072	-2.7103863805207096
2022-09-01	3.802178325194336	-0.1697840455794919	1.0992865801263592	-0.4126383117628872	-2.6633903051326108	3.8352757119607616	-0.56722117130960096	1.2477156633271734	-0.078830101928334528	-2.645101158175496
