_date_,fcon1f
2011-07-01,-5.784135867389825
2011-08-01,-5.424508316582275
2011-09-01,-4.820451113373184
2011-10-01,-5.230185320379365
2011-11-01,-5.836709476843558
2011-12-01,-6.602308200943166
2012-01-01,-6.927485103651296
2012-02-01,-7.351109150107219
2012-03-01,-7.5276065475662115
2012-04-01,-7.98523178081196
2012-05-01,-8.351357461853647
2012-06-01,-8.187847935534627
2012-07-01,-7.756988609032227
2012-08-01,-7.54243699819536
2012-09-01,-8.378660808233054
2012-10-01,-8.97011410262979
2012-11-01,-9.202385970302835
2012-12-01,-8.696411496453939
2013-01-01,-8.785943577874576
2013-02-01,-8.823626454674168
2013-03-01,-8.967665070235725
2013-04-01,-8.446064482926744
2013-05-01,-8.076188660579959
2013-06-01,-7.439794108644835
2013-07-01,-7.26197730221544
2013-08-01,-7.5829585292510915
2013-09-01,-7.043291900013747
2013-10-01,-7.216670234565363
2013-11-01,-6.127496549989083
2013-12-01,-5.931478553467891
2014-01-01,-4.649225155696363
2014-02-01,-3.685520570227329
2014-03-01,-2.7408215262147255
2014-04-01,-2.2575376212690745
2014-05-01,-2.0771616141307385
2014-06-01,-2.0916556661975587
2014-07-01,-1.5030216775310652
2014-08-01,-0.8130089712305425
2014-09-01,-0.0290902506028768
2014-10-01,0.287929936804771
2014-11-01,-0.0379540105289414
2014-12-01,-0.0451925272001531
2015-01-01,-0.0015344663697119
2015-02-01,0.2653783859999012
2015-03-01,0.5879195470260926
2015-04-01,0.8455643355932708
2015-05-01,1.1412741766156989
2015-06-01,1.0353874220997896
2015-07-01,0.9361523807605044
2015-08-01,1.1040970911810586
2015-09-01,1.3998075241167975
2015-10-01,1.2057530612957634
2015-11-01,1.6077412883101438
2015-12-01,1.7278592539335171
2016-01-01,1.3236971783345737
2016-02-01,1.1877587649420709
2016-03-01,0.2559526799757455
2016-04-01,-0.2703404306229624
2016-05-01,-1.3810271450845135
2016-06-01,-1.6121963220372002
2016-07-01,-1.1769939120850945
2016-08-01,-1.340250641260254
2016-09-01,-1.2106464141499182
2016-10-01,-1.2519153388294169
2016-11-01,-0.8544257983306454
2016-12-01,-0.440592117793212
2017-01-01,-0.4654706120544045
2017-02-01,-0.1432691863562396
2017-03-01,0.0165818885183997
2017-04-01,1.0783921067955662
2017-05-01,1.6035417566469
2017-06-01,2.2117138255351656
2017-07-01,2.331060793703755
2017-08-01,2.283651059337464
