_date_,finv1f
2021-08-01,2.101567315957714
2021-09-01,1.2292102214612948
2021-10-01,1.142226186672336
2021-11-01,0.999481701562036
2021-12-01,1.1176417119832798
2022-01-01,1.6923788574591974
2022-02-01,2.095842952348464
2022-03-01,1.9733361853353704
2022-04-01,1.4517426245396958
2022-05-01,1.486392122425384
2022-06-01,2.44998056713828
2022-07-01,2.792629874802388
2022-08-01,3.1335207919266463
2022-09-01,3.0680759494882586
2022-10-01,3.192124091087992
2022-11-01,2.787109300382484
2022-12-01,2.8977401276986883
2023-01-01,2.755689869145607
2023-02-01,2.6884577963855807
2023-03-01,2.912221657549143
2023-04-01,2.8002110839804497
2023-05-01,2.624429629633352
2023-06-01,1.9739590854852112
2023-07-01,2.0642473394714367
2023-08-01,1.0172181157714528
2023-09-01,0.1787129335008132
2023-10-01,-0.3159134448901016
2023-11-01,0.2858669028620543
2023-12-01,0.1747457064346976
2024-01-01,0.1188442451268804
2024-02-01,0.1836479902181524
2024-03-01,0.38955291611752
2024-04-01,0.5951927524854456
2024-05-01,0.2527120494248018
2024-06-01,-0.017797883507018
2024-07-01,-0.4924708301255905
2024-08-01,-0.3896906563241144
2024-09-01,0.1231439420842489
2024-10-01,0.3421564401272284
2024-11-01,0.1375938558787673
2024-12-01,-0.2434514981696836
2025-01-01,-0.5630618650492772
2025-02-01,-0.5697004655873672
2025-03-01,-0.6289797747097964
2025-04-01,-0.6661365559776088
2025-05-01,-0.4516314928365336
2025-06-01,-0.2780957074944299
2025-07-01,-0.0271132743992401
2025-08-01,-0.0423781728257184
2025-09-01,-0.2448765752155715
2025-10-01,-0.2991761289980631
2025-11-01,-0.1727706443897822
2025-12-01,0.0191465077261089
2026-01-01,
2026-02-01,
2026-03-01,
2026-04-01,
2026-05-01,
2026-06-01,
2026-07-01,
2026-08-01,
2026-09-01,
2026-10-01,
2026-11-01,
2026-12-01,
