_date_,pibuem
2010-05-01,2.3813784516518393
2010-06-01,2.433150160275376
2010-07-01,2.3770338486975735
2010-08-01,2.3318217409676607
2010-09-01,2.2975138370856336
2010-10-01,2.2741101370514887
2010-11-01,2.3842183199194364
2010-12-01,2.627838385689472
2011-01-01,3.0049703343615977
2011-02-01,3.056051886547786
2011-03-01,2.781083042248036
2011-04-01,2.180063801462352
2011-05-01,1.8010111401689637
2011-06-01,1.6439250583678686
2011-07-01,1.7088055560590705
2011-08-01,1.6104339615701402
2011-09-01,1.348810274901078
2011-10-01,0.9239344960518844
2011-11-01,0.5113626174447999
2011-12-01,0.1110946390798241
2012-01-01,-0.2768694390430412
2012-02-01,-0.5496439621137841
2012-03-01,-0.7072289301324055
2012-04-01,-0.7496243430989038
2012-05-01,-0.8115018715318985
