_date_,fexp1f
2023-12-01,-0.2993872474352552
2024-01-01,-0.1789678222855744
2024-02-01,-0.0128771521122565
2024-03-01,-0.1409393654246403
2024-04-01,-0.0465500850945424
2024-05-01,0.1108958712962092
2024-06-01,0.632682713410967
2024-07-01,0.5416354689426645
2024-08-01,0.5664287020282436
2024-09-01,0.633080801434525
2024-10-01,0.6442111201072388
2024-11-01,0.5027386878935862
2024-12-01,0.4306397410984292
2025-01-01,0.321392299743238
2025-02-01,0.2299630729864549
2025-03-01,0.3097829510909384
2025-04-01,0.326715719524012
2025-05-01,0.296184693090226
2025-06-01,0.0815517557086694
2025-07-01,0.1247956877178774
2025-08-01,0.1335651319851622
2025-09-01,0.1411183518047711
2025-10-01,0.191320783423563
2025-11-01,0.2754922099452184
2025-12-01,0.292997012319028
2026-01-01,
2026-02-01,
2026-03-01,
2026-04-01,
2026-05-01,
2026-06-01,
2026-07-01,
2026-08-01,
2026-09-01,
2026-10-01,
2026-11-01,
2026-12-01,
