_date_;CPR;CPU;INV;EXPOR;IMP;PIB;AGRICUL;INDUSTRIA;CONSTRU;SERVI;IMPUESTOS
1998Q1;78.52624773549068;58.21512104863823;76.25241276254248;56.580403884593395;56.94900756392659;73.80991409744156;83.73675035300597;93.66748411814508;126.54110853743903;64.28532994594862;74.27892676391346
1998Q2;79.53765799894633;58.70566126454714;77.90032296163066;58.745999430086734;59.81813000566253;74.62041543965587;83.37318335772545;95.34384384901165;127.44804655691159;64.91958537970785;75.32492115820304
1998Q3;80.28882234665903;59.35014761204451;81.59836996165552;58.342462323985174;61.42250963486322;75.33119686280075;84.2602868262099;96.34824503796968;130.55256516202934;65.25177564539946;77.07712832825499
1998Q4;83.4009297557521;60.0676931406347;83.60462749693596;58.33603145376841;66.0043720234979;76.11676822524774;82.20976897282786;97.06971631454515;132.0292462962988;66.07655196683476;78.50954103381078
1999Q1;82.16252085924161;60.60763904471484;83.81319721799018;61.16881821976826;65.1867558608099;76.86648702981911;79.64662276131111;98.06123566158534;133.28644800833047;66.9665726788051;78.7427421520529
1999Q2;83.71736899383923;61.13219401742278;87.87692560991042;61.62395523756409;68.75036466040517;77.74740404642444;82.44251184696645;99.00715263085812;136.62582047799148;67.5274887295254;79.75995963472003
1999Q3;84.85416376224127;60.921865211940855;89.5677440424824;63.2624485016291;70.17084723991901;78.80536811048475;84.73137441449775;101.28017698985683;137.94603750088075;68.24504988326775;80.59395160808684
1999Q4;86.49630842342269;61.51230631648651;91.71969477484676;64.5671746193105;73.50790643137296;79.68034757366934;84.26780731221294;102.75905463957803;140.27583224715582;68.87083915847197;82.06607380349955
2000Q1;87.65848412593212;62.50709323297347;91.62807176969298;66.56970439087503;74.29902102549083;80.93884838478498;87.82636147030418;103.49811508668506;141.65910600198737;70.22362025397796;82.38211539414155
2000Q2;87.52835233500993;62.91422567732226;94.20224609756097;69.39529509349795;75.88731809320508;81.96192594844646;89.85390909434872;104.78448454923283;142.7677788634914;71.10962533208154;83.48613256331915
2000Q3;88.2084571693185;64.29749494607361;95.61351570201884;69.48942826766778;76.47716285486656;82.79774612770508;89.4892422554918;105.72899692173361;145.2779815687836;71.7803033920746;84.88534148896137
2000Q4;88.82397104170951;64.322020996938;96.87158827704539;71.28114953195097;77.5283387150343;83.68406268028585;89.21209545796053;107.20567857874053;147.4848681138529;72.76355292997;83.70457446310297
2001Q1;90.1456375278803;64.80262931471951;97.03529265892932;72.63350367469029;78.9796999832873;84.53370841187935;87.52639408158194;107.91542681583564;150.38223601489273;73.55477206200312;84.92744267889472
2001Q2;91.07590482868095;65.4724239329595;98.43490333133813;72.2328990568636;79.5502570705159;85.19087745088285;86.01250347026321;108.5999675510678;153.70297939692506;73.9893049582554;86.47003128715245
2001Q3;92.19313761640721;65.7931706515533;98.31662637310642;72.02811236789994;78.89478678753788;86.00979552580209;86.90907946337428;109.45391483188766;156.11366482586396;74.64782388350368;87.43982044896153
2001Q4;92.69657639095817;66.83559748698315;98.8642048834385;70.75903281366539;77.8802975541105;86.557097295127;92.55309882984405;109.16350361088007;157.8950548617064;75.14656610806817;87.00880304371306
2002Q1;93.45574451038428;66.98604146505951;100.68463186077904;71.98073504929656;80.50840068464203;86.96628943990173;91.69393117466413;108.03057139183186;158.5815838520725;75.80961957921363;88.20509396839499
2002Q2;94.05024109928185;67.62575998231351;100.79673869877529;71.9733746043767;79.77852790363407;87.69535049302438;87.9795731255858;109.05212108530127;160.082211614564;76.71583279597323;88.35573838215592
2002Q3;94.50646218528031;68.62517787937583;102.14413597808864;73.04211120674063;81.73978114339785;88.18659993672256;88.84305857610954;109.48509578981812;160.99722854291244;76.98035294028307;90.27505980192494
2002Q4;95.48143659107228;69.5676813176077;103.84266033489969;74.78800874173183;84.87420412932174;88.8751304691425;87.65062628729106;110.17514922514184;161.65604073132334;77.71402201978395;91.34630896644714
2003Q1;95.16729649980698;70.01051204161189;105.49759155082613;74.56786225567882;82.94865659829276;89.73181200723485;87.57180783856717;111.15208454670567;163.34740990126872;78.51380110916546;92.22332363132182
2003Q2;96.0333658028967;71.0393994536224;106.54361319544658;75.36045162029673;85.69879164603412;90.07568035490866;87.80373192849636;110.74536657917167;163.7834589933894;78.81411441456159;94.1119295216128
2003Q3;97.08379639327775;71.65057616417563;108.8473028874901;75.54358224982951;87.73083587575417;90.74652856387661;86.1939058925171;111.57848241589453;165.3310057713077;79.36275056701643;95.79009075555703
2003Q4;98.33059319198316;72.09686707152206;110.75212051271333;76.52662746916154;90.23957018041601;91.5074487002025;93.19255637096934;111.44400308791958;165.4849054508797;80.01194721125546;96.7775618353377
2004Q1;99.4117857277218;73.8085828492402;110.11605284610373;77.94955375030868;92.79960877894888;92.04278315040695;90.51870442952993;110.9853103861938;164.44851287865052;80.90305444107003;98.30491221758737
2004Q2;99.93937857299639;74.81957204196091;112.61251938984647;79.01294952041334;94.267986491204;93.02023901365561;89.38172955231063;111.97366364629016;166.05618237594888;81.84721990254126;99.90696340226013
2004Q3;101.00536537691335;76.37853436855131;113.94474957985625;78.79703905327884;95.52992209380804;93.80463945029125;85.3506368058057;112.74631766069773;167.58346839838234;82.77491353111874;100.99025515570555
2004Q4;102.19431870224865;77.0348277730696;115.45669410634832;79.16864006134027;97.53380753410549;94.47041003365766;82.19811555533393;112.39862335421431;168.98214086103192;83.59521080922876;103.07037875739177
2005Q1;102.891060268589;78.28300954100375;117.52880354402565;79.03564609090881;98.4155475692522;95.31448472742426;80.68491826804915;112.66165377760451;171.2429453649656;84.56160506176346;103.69434389364673
2005Q2;104.77657629310796;78.93442610550035;119.54222447837238;80.27889372189412;102.46143736311295;96.16051494353962;80.27028563843979;112.77438432227056;172.87990928031587;85.4010793934269;105.64389885925237
2005Q3;105.34809072880724;79.1707444175417;122.04971364937613;80.33370046200716;102.60425134757519;97.08120765179036;82.34344878648665;113.64491463941364;174.91485066132466;86.1164464508869;107.02005530556221
2005Q4;106.43172062795605;80.12218249123865;122.45648411489451;81.06638004036043;103.10865818631412;98.03966569036542;77.26419907377182;114.62817550122271;176.64192268210707;87.35879208804162;107.5170006889519
2006Q1;107.4849283732024;80.79571412091614;127.20664798605962;81.95937154015665;106.48923150914538;99.18004695022297;83.31804287551023;114.67720466497967;177.39647808439383;88.5177197198951;108.65339944861445
2006Q2;108.61378893444117;81.64609123686263;128.80539981475786;83.77160817230143;109.36572738087078;100.07268278459291;85.83486382801662;115.25143248825492;179.33384342997155;89.3750566465975;109.02337820365999
2006Q3;109.69137296640136;82.72389479079482;130.28945090519406;83.38920961689472;109.70283974250083;101.01738557150433;85.73469184980742;115.9459174472946;181.00232177029122;90.51240339867573;108.85844791526617
2006Q4;110.76274166147935;84.2130435543011;132.069959288369;86.61050179559246;114.42682912446948;101.95750646659204;85.10861698599983;116.58027383845207;182.42259672114176;91.61822586577784;109.30866302682762
2007Q1;111.60545855937615;84.74971725848043;134.07853620942933;89.07565818351304;117.47063351160068;102.8842780577079;89.0751472799822;115.87005679291549;181.09736823614062;93.16136508411937;108.885414003091
2007Q2;112.5205896871803;86.00418615645283;134.9437113528292;89.88219290741921;118.52617043632891;103.78721058019572;91.65397214190861;116.67114955282224;182.02683400318645;94.18751446048194;108.61177098965484
2007Q3;113.2780690210231;87.43894937410356;135.0449014280807;91.42760894911444;120.0081726152091;104.56526945595647;91.99217868117763;117.2246318233033;183.28548556272762;95.0836809408265;108.74246616025121
2007Q4;114.31256507854087;88.01399336213024;135.60481984447205;91.08005615690489;120.22919779676295;105.20364595124371;92.90815472503128;117.32367601907359;182.32374667877053;96.02993257376512;108.9793511569571
2008Q1;114.27906052973809;89.44925419510649;133.58775460697655;91.88040055035643;119.7116505640216;105.40043743374679;89.4453064170821;116.17300659050632;181.2478977105973;96.6589906283834;109.93626116128357
2008Q2;113.22950929598211;90.44566943106544;132.61597410930017;90.25379796325731;115.7483994920614;105.43753883294023;90.24781144728404;116.53753690324505;180.9663208481732;96.9286343989931;107.81621064507556
2008Q3;111.55095365500615;91.12454574567482;128.45754284259357;91.31620108498237;111.468701711225;105.21454396487115;89.33649217569878;116.84598562940857;178.5948179402012;97.07805483238826;105.7656030166817
2008Q4;109.78305905088013;92.32352891421883;122.82746429091173;84.79038020452029;103.07380267663315;103.58285534617502;88.19394264117402;111.53225530140931;175.31601180886264;96.66357056503918;101.7011516416779
2009Q1;108.65809341864043;93.14814163307078;105.41050027017448;76.56113779523605;88.63573327508729;100.81295227317193;84.98436044958319;101.9588023100774;169.49301445287347;95.70434952938488;96.96860722876106
2009Q2;107.74567205238762;93.95412060888229;105.90869813146107;78.39392607200305;89.63099494521961;100.87896636727035;86.66249118249358;102.9277285690061;166.2073999475689;96.01134154204411;95.36783702537721
2009Q3;108.27797629296093;94.90664121665947;106.18311531407136;82.06328416943683;94.78364496092486;101.07776309635534;87.00357466479242;103.87263186283737;161.81651438625187;96.49016152613828;95.36783702537723
2009Q4;108.32075700267762;95.08284008366589;104.9466045567143;82.54984281787702;94.59127223542278;101.0532435756902;86.93535796833267;103.8165782776101;157.38939042965578;96.75665904871408;96.37807919641517
2010Q1;108.96581397256377;94.82729371039335;102.52180609468793;83.33254561846996;94.97957451884926;100.9630702101652;86.9906050706507;105.90646519560119;143.44025108648466;97.19090321690146;99.30326013105953
2010Q2;109.33261401959808;94.77421234338321;102.7258111357591;85.37721399012025;97.6443522724144;101.08764302843791;87.86394722162333;106.65549127773131;139.57732221162973;97.37598160616342;100.96666949075832
2010Q3;108.29240307540222;95.04989299140367;101.15783850603835;88.12935316717045;97.72336185540416;101.02403938406303;88.45094768375247;106.81164865881146;137.55955196729101;97.5094102123755;99.9526733742296
2010Q4;108.46164093494126;95.08242673247442;99.67416548006602;91.4218134538393;100.0821570421179;101.12828914436979;91.2714133188608;107.28012080205184;134.2680270554347;97.78272364768094;99.65644978962573
2011Q1;107.39334566817857;95.99616044358747;97.33738686521046;93.9893777679278;99.8965965895794;101.04879035790839;92.62383978769628;107.78540808809578;125.09303651588768;98.61058224218662;97.14989494893668
2011Q2;106.3286424177578;95.90494860236282;94.83460822590058;94.02442881315172;96.72870257277364;100.7872382733593;94.108108905141;106.82892472142612;122.55653082985832;98.8033001233021;95.33785790877
2011Q3;105.89317670476767;95.36628244569658;93.76751901452032;94.16338117100366;96.96615970520882;100.17219685789881;92.80086270996034;106.48577955880735;118.68371970923786;98.5158565040112;94.13898491754858
2011Q4;104.92570662790129;94.58840032808273;90.63189251483351;94.66160674240074;94.52817653299077;99.60818999552109;93.31831432888602;103.86760898733024;115.0583725579861;98.64705709539209;93.1002667152308
2012Q1;104.91149698910247;93.35837559586689;88.37938548342555;92.91775771862838;93.46001726764707;98.67071465968579;85.48935229961646;102.66050044217263;112.41561811386573;98.05777779731861;92.97510874289415
2012Q2;103.30973257274346;92.06451663899183;85.41259534073707;93.71565946167003;91.41990107553973;97.7142971977384;82.49153946202411;101.70241091565563;109.26181336628224;97.4049000648698;91.66387477711744
2012Q3;101.73647413328571;91.15428163159459;82.74860832041017;97.30321767474447;91.14306379274764;97.26558896608215;85.07586087374166;99.81843655258854;107.33130258139776;97.28204380547477;91.03774921560468
2012Q4;100.57248007648242;90.46550226775946;81.40981024569925;96.46452095536688;89.33489235108766;96.45911671722595;85.54842250331286;98.62149557548324;105.68112999629852;96.6422127554396;89.69475525757734
2013Q1;99.32202250537907;89.58199830718371;81.98058584818733;97.32166351861247;88.70173194112832;96.19400611003861;92.36669350804341;96.87042288696829;99.42112483792296;96.96976161556357;88.65634933615158
2013Q2;99.55750254694914;89.75031147609988;80.24199181502689;99.20810149175432;90.30149271589629;96.0953455909514;96.7151255076104;96.1238300323481;97.49762876984829;97.05171204821839;87.9249630927463
2013Q3;99.54220299622564;89.58916056969076;81.33321834239904;100.10087468675492;92.02663037127907;96.03471832540544;96.4288650938458;96.59311696953795;97.35589748062173;96.86595773420082;88.12323044788629
2013Q4;100.32447567669558;89.78433222300845;81.81567380064233;100.08796994937644;93.309332303723;96.2173532557768;99.93214730039347;96.05183714993831;96.63374281646738;97.03696097034052;89.11456722358623
2014Q1;100.42523340693057;89.47498625067803;84.98027234247715;101.04747972526388;95.25771219221501;96.58114030912449;97.02317871799617;96.74942690533827;95.93737958563992;97.35117310138523;90.83572272463522
2014Q2;101.11910731132487;89.0888830617264;85.9167241901753;102.43735343991764;96.6521649914794;97.10265942066081;94.61812144533694;97.42610427884846;96.99326093701171;97.71959844497208;92.74530308729074
2014Q3;101.74708625803693;89.08179859954382;86.39588145855006;105.33518699621358;98.61177046709763;97.87912676788716;96.76395098800896;97.73742732901856;97.97171098928288;98.3338239804743;94.93629529286395
2014Q4;102.37440625517208;89.13670318145894;88.51109662426516;105.77446738861049;98.60194172490017;98.82543463094814;92.55870114599398;99.20656337568902;98.67563189019741;99.19769892789961;97.24387240478873
2015Q1;103.29912626221665;90.04170025208164;92.7535943367948;106.35026358546035;100.45229790857725;100.02849498803874;96.84442056952925;99.94917028295826;101.21712870807148;100.10312381697993;99.74806364438854
2015Q2;103.91642680968874;90.79085791554034;96.01264319859109;106.90284481314428;101.22048297980437;101.14861513303568;99.12260067582474;100.8943099796675;102.9473360364146;101.02659756101819;101.91835521372006
2015Q3;105.15958324271092;91.18923352010898;97.06720318482225;109.2789440921851;103.9494635478633;102.07634966440011;100.44307449539727;101.30602836809702;103.58033871751573;101.9077202161399;104.0601972680978
2015Q4;105.44322560514215;91.64049084209823;98.05940658056326;110.10421214309561;103.31530753591328;102.98792681024466;102.9679365240305;102.29518826985844;105.05734497341838;102.6348389115649;105.43390241872336
2016Q1;105.96871147232551;91.7542887819209;97.65607298282673;111.34712241330122;103.02626710323001;103.70345090325357;105.54749955884657;105.13222598391826;105.65952757285669;102.72834436625413;106.92760440339224
2016Q2;107.04749798190697;91.66915736954657;96.87775539353923;113.37648305836255;105.43854825144953;104.04649705939467;105.0753417770777;104.72434896341117;105.96777708971159;103.17626864984778;107.95990021203232
