_date_,FAG1F,FAG2F,FAG3F,FAG4F,FAG5F,FCON1F,FCON2F,FCON3F,FCON4F,FCON5F,FCP1F,FCP2F,FCP3F,FCP4F,FCP5F,FCP6F,FCP7F,FCPU1F,FCPU2F,FCPU3F,FEXP1F,FEXP2F,FEXP3F,FEXP4F,FEXP5F,FIMP1F,FIMP2F,FIMP3F,FIMP4F,FIMPU1F,FIMPU2F,FIMPU3F,FIMPU4F,FIND1F,FIND2F,FIND3F,FIND4F,FIND5F,FIND6F,FINV1F,FINV2F,FINV3F,FINV4F,FINV5F,FSER1F,FSER2F,FSER3F,FSER4F,FSER5F,FSER6F,f202004,f202003,fvirus
1999-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,1.221687,-0.618754,-0.36663,0.903146,0.284495,-0.530312,-0.006103,-0.008682,,,,,,,,,,,,,,,,,,0,0,0.0
1999-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,1.56969,-0.441258,0.568236,1.366681,0.281724,-0.512876,0.018667,-0.043138,,,,,,,,,,,,,,,,,,0,0,0.0
1999-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,2.138742,-0.142431,-0.35866,0.813841,0.275603,-0.498445,0.03176,-0.000646,,,,,,,,,,,,,,,,,,0,0,0.0
1999-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,2.386853,-0.156128,-0.240124,1.071706,0.301618,-0.503416,0.036684,-0.038554,,,,,,,,,,,,,,,,,,0,0,0.0
2000-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,2.408655,-0.489049,-0.172799,1.160714,0.2262,-0.559791,0.001472,0.020981,,,,,,,,,,,,,,,,,,0,0,0.0
2000-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,2.700989,-0.510311,-0.613049,1.168135,0.287761,-0.549246,0.066842,-0.095093,,,,,,,,,,,,,,,,,,0,0,0.0
2000-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,2.319758,-0.431419,-0.814364,1.048155,0.331086,-0.565649,0.130711,0.01942,,,,,,,,,,,,,,,,,,0,1,0.0
2000-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,2.101995,-0.154429,-0.695889,0.930439,0.443826,-0.503411,-0.008259,0.016309,,,,,,,,,,,,,,,,,,0,0,0.0
2000-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,1.794712,-0.202198,-0.448376,0.851031,0.404591,-0.481067,-0.047062,-0.033777,,,,,,,,,,,,,,,,,,0,0,0.0
2000-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,1.958111,-0.201612,-0.222156,0.901096,0.398748,-0.415539,0.013006,-0.039138,,,,,,,,,,,,,,,,,,0,0,0.0
2000-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,1.905926,-0.185604,-0.236598,0.822696,0.39763,-0.385554,0.013148,0.00369,,,,,,,,,,,,,,,,,,0,0,0.0
