_date_;CPR;CPU;INV;EXPOR;IMP;PIB;AGRICUL;INDUSTRIA;CONSTRU;SERVI;IMPUESTOS;uno;PCY_CPR;PCY_CPU;PCY_INV;PCY_EXPOR;PCY_IMP;PCY_PIB;PCY_AGRICUL;PCY_INDUSTRIA;PCY_CONSTRU;PCY_SERVI;PCY_IMPUESTOS
2010Q2;109.3326140195981;94.77421234338321;102.7258111357591;85.37721399012025;97.6443522724144;101.08764302843791;87.86394722162333;106.65549127773131;139.57732221162973;97.37598160616342;100.96666949075832;1;1.472859129264048;0.8728640417112077;-3.005312171575514;8.90794512792128;8.94038645012516;0.2068584450080735;1.3863622228441619;3.621728333610319;-16.022197413797322;1.4213321491000297;5.8707763959156
2010Q3;108.2924030754022;95.04989299140367;101.15783850603835;88.12935316717045;97.72336185540416;101.02403938406303;88.45094768375247;106.81164865881146;137.55955196729101;97.5094102123755;99.9526733742296;1;0.01332383826815331;0.1509396738813784;-4.7326515078872085;7.391940328891722;3.1015022641208034;-0.053150871810547784;1.6635787949362824;2.8294428891096457;-14.99041214116138;1.056323950666327;4.807528923647886
2010Q4;108.4616409349413;95.08242673247442;99.67416548006602;91.4218134538393;100.0821570421179;101.12828914436979;91.2714133188608;107.28012080205184;134.2680270554347;97.78272364768094;99.65644978962573;1;0.1300618054767;-0.00043472743462835695;-5.023925356059522;10.74741069530052;5.804853531337617;0.07426339425056216;4.987677570853966;3.3362133311503284;-14.690547635455165;1.0604588966329098;3.4015728685869995
2011Q1;107.3933456681786;95.99616044358747;97.33738686521046;93.9893777679278;99.8965965895794;101.04879035790839;92.62383978769628;107.78540808809578;125.09303651588768;98.61058224218662;97.14989494893668;1;-1.4430840711024517;1.2326269025075165;-5.05689416424171;12.78831946194121;5.176925771292362;0.08490247727683808;6.475681727320404;1.7741531539404498;-12.790841086533566;1.4607118344366565;-2.1684738036604867
2011Q2;106.3286424177578;95.90494860236282;94.83460822590058;94.02442881315172;96.72870257277364;100.7872382733593;94.108108905141;106.82892472142612;122.55653082985832;98.8033001233021;95.33785790877;1;-2.7475530780795454;1.1930843116719991;-7.681811243553738;10.128246658449292;-0.9377395398007415;-0.2971725782488499;7.106625505644226;0.16261089008833274;-12.19452495009481;1.4657808769635405;-5.5749205261282135
2011Q3;105.8931767047677;95.36628244569658;93.76751901452032;94.16338117100366;96.96615970520882;100.17219685789881;92.80086270996034;106.48577955880735;118.68371970923786;98.5158565040112;94.13898491754858;1;-2.2155075540838842;0.3328667127710849;-7.305730925712572;6.846785760911467;-0.7748425103464296;-0.8432077467480537;4.917884025121522;-0.30508760429776016;-13.721934964241134;1.0321529885614744;-5.816441182032395
2011Q4;104.9257066279013;94.58840032808273;90.63189251483351;94.66160674240074;94.52817653299077;99.60818999552109;93.31831432888602;103.86760898733024;115.0583725579861;98.64705709539209;93.1002667152308;1;-3.260078195904259;-0.5195769832228692;-9.071832125889124;3.543785849530612;-5.549421268758059;-1.5031393902833923;2.2426529135407103;-3.1809358427347445;-14.30694627658271;0.8839326779497503;-6.578784502392965
2012Q1;104.9114969891025;93.35837559586689;88.37938548342555;92.91775771862838;93.46001726764707;98.67071465968579;85.48935229961646;102.66050044217263;112.41561811386573;98.05777779731861;92.97510874289415;1;-2.3109892550926325;-2.747802449110126;-9.203042808401719;-1.140150168825882;-6.4432418537507585;-2.35339353375692;-7.702647077073066;-4.754732330497302;-10.134391773607499;-0.560593429527001;-4.297262707527216
2012Q2;103.3097325727435;92.06451663899183;85.41259534073707;93.71565946167003;91.41990107553973;97.7142971977384;82.49153946202411;101.70241091565563;109.26181336628224;97.4049000648698;91.66387477711744;1;-2.8392254207038836;-4.004414807930335;-9.935205154978677;-0.32839269047332253;-5.488341470557668;-3.048938663530343;-12.343855995264075;-4.798806895359764;-10.84782457006126;-1.4153373993451068;-3.8536455635160616
2012Q3;101.7364741332857;91.15428163159459;82.74860832041017;97.30321767474447;91.14306379274764;97.26558896608215;85.07586087374166;99.81843655258854;107.33130258139776;97.28204380547477;91.03774921560468;1;-3.925373381772246;-4.41665618715964;-11.751308779326685;3.334455989891416;-6.005286720815017;-2.901611408143401;-8.324278040778987;-6.261252003641237;-9.565269066096239;-1.2524001133626506;-3.294316063276137
